sample,treatment,temp,function,curve,,
C1,control,0,137.70549,yes,,
C2,control,0,105.16742,yes,,
C3,control,0,136.4393,yes,,
C4,control,0,95.31578,yes,,
T5,treatment,0,108.76622,no,,T3
T6,treatment,0,208.28981,no,,T4
T3,treatment,0,211.11224,no,,
T4,treatment,0,215.73686,no,,T5
C1,control,5,NA,yes,,T6
C2,control,5,48.56658,yes,,
C3,control,5,78.19916,yes,,
C4,control,5,106.13594,yes,,
T5,treatment,5,172.98681,yes,,
T6,treatment,5,73.73069,yes,,
T3,treatment,5,252.4761,yes,,
T4,treatment,5,110.05512,yes,,
C1,control,10,64.0727,yes,,
C2,control,10,47.36502,yes,,
C3,control,10,102.15327,yes,,
C4,control,10,121.53156,yes,,
T5,treatment,10,2682.3955,no,,
T6,treatment,10,97.36869,yes,,
T3,treatment,10,146.75312,yes,,
T4,treatment,10,-206.77202,no,,
C1,control,15,78.1705,yes,,
C2,control,15,89.8069,yes,,
C3,control,15,193.6215,yes,,
C4,control,15,148.2585,yes,,
T5,treatment,15,560.9579,yes,,
T6,treatment,15,182.8038,yes,,
T3,treatment,15,114.0469,yes,,
T4,treatment,15,300.5222,yes,,
C1,control,20,120.25558,yes,,
C2,control,20,97.80903,yes,,
C3,control,20,466.24309,yes,,
C4,control,20,320.7747,yes,,
T5,treatment,20,-2770.21832,no,,
T6,treatment,20,NA,no,,
T3,treatment,20,338.27353,yes,,
T4,treatment,20,2590.74656,no,,
C1,control,25,537.1504,yes,,
C2,control,25,366.0525,yes,,
C3,control,25,977.2953,yes,,
C4,control,25,677.1812,yes,,
T5,treatment,25,-777.6602,no,,
T6,treatment,25,-831.2698,no,,
T3,treatment,25,431.219,yes,,
T4,treatment,25,1235.8591,no,,
