temperature,sample,time,relative minutes,RecN,CO2 ambient,CO2 EC,CO2 delta,ZP tcuv,Tcuv,ZP rh,relH,light,Flow,Weight,CO2_PER_WEIGHT
0,C1,09:36,00:09,,428.6494024,2.392857143,3.2,0,0,78.84285714,94.6,0,499,6.996676471,-0.8196922
0,C1,09:39,00:12,,428.5537849,2.357142857,2.9,0,0,80.15714286,94.8,25,499,6.987235294,-0.5512928
0,C1,09:41,00:14,,428.4900398,2.333333333,2.7,0,0,81.03333333,94.8,50,500,6.980941176,-0.3731086
0,C1,09:45,00:18,,428.3625498,2.285714286,2.5,0,0,82.78571429,94.6,100,500,6.968352941,-0.2180481
0,C1,09:47,00:20,,428.2988048,2.261904762,2.1,0,0,83.66190476,94.5,200,499,6.962058824,0.164417
0,C1,09:53,00:26,,428.1075697,2.19047619,1.7,0,0.1,86.29047619,94.7,400,498,6.943176471,0.4970804
0,C1,09:55,00:28,,428.0438247,2.166666667,1.7,0,0.2,87.16666667,94.8,600,500,6.936882353,0.4748471
0,C1,09:57,00:30,,427.9800797,2.142857143,1.6,0,0.3,88.04285714,95,800,499,6.930588235,0.5512653
0,C1,09:59,00:32,,427.9163347,2.119047619,1.6,0,0.4,88.91904762,95.2,1000,500,6.924294118,0.5281404
0,C1,10:01,00:34,,427.8525896,2.095238095,1.5,0,0.5,89.7952381,95.3,1200,499,6.918,0.6044509
5,C1,10:58,00:13,,,1.044444444,2.8,5,4.9,81.04761905,94.8,0,499,6.681476471,-1.7824353
5,C1,11:05,00:20,,,1.122222222,2.5,5,5,82.58095238,94.4,25,500,6.659117647,-1.4016572
5,C1,11:13,00:28,,,1.211111111,1.7,5,5,84.33333333,93.3,50,499,6.633564706,-0.4963597
5,C1,11:19,00:34,,,1.277777778,1.1,5,5,85.64761905,92.9,100,499,6.6144,0.1804923
5,C1,11:25,00:40,,,1.344444444,0.7,5,5,86.96190476,93,200,499,6.595235294,0.6542768
5,C1,11:29,00:44,,,1.388888889,0.6,5,5,87.83809524,93.3,400,499,6.582458824,0.8009187
5,C1,11:32,00:47,,,1.422222222,0.5,5,5,88.4952381,93.9,800,500,6.572876471,0.938156
5,C1,11:35,00:50,,,1.455555556,0.5,5,5,89.15238095,94.5,1000,500,6.563294118,0.9720595
5,C1,11:36,00:51,,,1.466666667,0.5,5,5,89.37142857,94.7,1200,500,6.5601,0.9833605
10,C1,11:15,00:14,,409,1.951851852,3.6,10.14814815,10,87.41851852,96.7,0,499,6.648252174,-1.6727306
10,C1,11:21,00:20,,409,1.974074074,2.8,10.12592593,10,88.84074074,97,25,500,6.624617391,-0.8399107
10,C1,11:25,00:24,,409,1.988888889,2.2,10.11111111,10,89.78888889,97.1,50,499,6.60886087,-0.214254
10,C1,11:28,00:27,,409,2,1.6,10.1,10,90.5,97.2,100,499,6.597043478,0.4059515
10,C1,11:34,00:33,,409,2.022222222,1,10.07777778,10,91.92222222,97.3,200,499,6.573408696,1.0374146
10,C1,11:38,00:37,,409,2.037037037,0.7,10.06296296,10,92.87037037,97.4,400,500,6.557652174,1.3596127
10,C1,11:41,00:40,,409,2.048148148,0.5,10.05185185,10.1,93.58148148,97.4,800,500,6.545834783,1.5742754
10,C1,11:44,00:43,,409,2.059259259,0.4,10.04074074,10.1,94.29259259,97.3,1000,500,6.534017391,1.6872479
10,C1,11:47,00:46,,409,2.07037037,0.5,10.02962963,10.1,95.0037037,97.3,1200,498,6.5222,1.5904592
17.5,C1,08:43,00:14,,411.631016,1.607692308,4.1,17.52692308,17.3,68.02692308,94.5,0,499,6.840678049,-2.528751
17.5,C1,08:48,00:19,,411.5508021,1.646153846,3.2,17.53653846,17.5,70.78653846,90.4,25,499,6.80734878,-1.5764754
17.5,C1,08:51,00:22,,411.5026738,1.669230769,2.6,17.54230769,17.7,72.44230769,90.8,50,500,6.78735122,-0.9461837
17.5,C1,08:54,00:25,,411.4545455,1.692307692,1.8,17.54807692,17.5,74.09807692,91,100,500,6.767353659,-0.109472
17.5,C1,08:57,00:28,,411.4064171,1.715384615,1.1,17.55384615,17.3,75.75384615,89.4,200,499,6.747356098,0.6242812
17.5,C1,09:00,00:31,,411.3582888,1.738461538,0.6,17.55961538,17.6,77.40961538,90.6,400,500,6.727358537,1.1571942
17.5,C1,09:04,00:35,,411.2941176,1.769230769,0.4,17.56730769,17.7,79.61730769,92.7,800,500,6.700695122,1.3916957
17.5,C1,09:08,00:39,,411.2299465,1.8,0.2,17.575,17.4,81.825,92.6,1000,500,6.674031707,1.6261751
17.5,C1,09:10,00:41,,411.197861,1.815384615,0.2,17.57884615,17.5,82.92884615,92.9,1200,499,6.6607,1.6384894
15,C1,10:12,00:11,,438.1368015,2.467346939,4.5,14.6122449,14.9,77.11020408,95.9,0,499,6.829905128,-2.0625469
15,C1,10:17,00:16,,437.867052,2.497959184,3.7,14.66326531,15,79.56938776,96.3,25,500,6.806225641,-1.222106
15,C1,10:20,00:19,,437.7052023,2.516326531,3,14.69387755,15,81.04489796,96.3,50,500,6.792017949,-0.4917334
15,C1,10:24,00:23,,437.4894027,2.540816327,2.3,14.73469388,15,83.0122449,96.6,100,499,6.773074359,0.2443304
15,C1,10:27,00:26,,437.327553,2.559183673,1.4,14.76530612,15,84.4877551,96.7,200,500,6.758866667,1.178422
15,C1,10:31,00:30,,437.1117534,2.583673469,0.8,14.80612245,15,86.45510204,96.7,400,499,6.739923077,1.8095805
15,C1,10:35,00:34,,436.8959538,2.608163265,0.5,14.84693878,15,88.42244898,96.9,800,499,6.720979487,2.1387012
