temperature,sample,time,relative minutes,RecN,CO2 ambient,CO2 EC,CO2 delta,ZP tcuv,Tcuv,ZP rh,relH,light,Flow,Weight,CO2_PER_WEIGHT,light_dark
25,C1,10:32,00:11,,407.6092715,2.434375,3.2,25,25,64.57125,80.2,750,500,6.73,-777.8264,light
25,C1,10:37,00:16,,407.5596026,2.45,6.2,25,25.2,64.74,80.7,0,499,6.73,-3802.1212,dark
25,C1,11:00,00:39,,407.3311258,2.521875,3,25,25.2,65.51625,84,750,500,6.59,-485.7296,light
25,C1,11:03,00:42,,407.3013245,2.53125,6,25,24.9,65.6175,84.6,0,499,6.59,-3516.8608,dark
25,C1,11:20,00:59,,407.1324503,2.584375,2.7,25,24.9,66.19125,81.2,750,499,6.453,-117.2265,light
25,C1,11:23,01:02,,407.102649,2.59375,5.5,25,24.5,66.2925,82.1,0,488,6.453,-2881.541,dark
25,C1,11:42,01:21,,406.9139073,2.653125,2.6,25,24.9,66.93375,77.8,750,499,6.311,53.8595,light
25,C1,11:46,01:25,,406.8741722,2.665625,4.9,25,25,67.06875,79.2,0,500,6.311,-2269.797,dark
25,C1,12:04,01:43,,406.6953642,2.721875,2.8,25,25.1,67.67625,74.4,750,499,6.1956,-79.2032,light
25,C1,12:07,01:46,,406.6655629,2.73125,4.2,25,25,67.7775,76.1,0,499,6.1956,-1489.0157,dark
25,C1,12:26,02:05,,406.4768212,2.790625,3.1,25,25.1,68.41875,79.2,750,499,6.124,-313.6371,light
25,C1,12:29,02:08,,406.4470199,2.8,4,25,25,68.52,79.3,0,500,6.124,-1218.9657,dark
25,C1,12:49,02:28,,406.2483444,2.8625,3,25,25.1,69.195,73.9,750,499,6.064,-139.3907,light
25,C1,12:52,02:31,,406.218543,2.871875,3.3,25,24.9,69.29625,74,0,499,6.064,-434.0106,dark
20,C1,10:43,00:18,,412.2125341,2.654545455,2.1,20.1,19.9,83.85272727,89.4,750,500,6.691,563.4256,light
20,C1,10:47,00:22,,412.1035422,2.666666667,5.1,20.1,20.2,83.75333333,89.1,0,499,6.691,-2467.3605,dark
20,C1,11:15,00:50,,411.3405995,2.751515152,2.3,20.1,20,83.05757576,86.3,750,500,6.546,458.7543,light
20,C1,11:19,00:54,,411.2316076,2.763636364,4.8,20.1,20.1,82.95818182,86,0,500,6.546,-2069.0177,dark
20,C1,11:39,01:14,,410.6866485,2.824242424,2.5,20.1,20.1,82.46121212,86.8,750,500,6.444,329.4458,light
20,C1,11:43,01:18,,410.5776567,2.836363636,4.6,20.1,20,82.36181818,86.9,0,500,6.444,-1791.9432,dark
20,C1,12:07,01:42,,409.9237057,2.909090909,2.2,20.1,19.9,81.76545455,89.4,750,499,6.357,719.0415,light
20,C1,12:10,01:45,,409.8419619,2.918181818,4.6,20.1,20,81.69090909,89,0,500,6.357,-1708.8397,dark
20,C1,12:32,02:07,,409.2425068,2.984848485,2.3,20.1,20.1,81.14424242,89.6,750,499,6.286,694.4694,light
20,C1,12:35,02:10,,409.1607629,2.993939394,4.4,20.1,19.9,81.06969697,88.9,0,499,6.286,-1425.8159,dark
20,C1,12:57,02:32,,408.5613079,3.060606061,2.5,20.1,20.1,80.5230303,88,750,500,6.219,569.6295,light
20,C1,13:01,02:36,,408.4523161,3.072727273,4.3,20.1,19.9,80.42363636,87.9,0,500,6.219,-1247.0297,dark
20,C1,13:33,03:08,,407.5803815,3.18,2.7,20.02,20,61.64,87.4,750,500,6.155,487.9541,light
20,C1,13:37,03:12,,407.4713896,3.181702128,3.9,20.01829787,20,61.24510638,86.9,0,500,6.155,-730.2079,dark
20,C1,14:04,03:39,,406.7356948,3.193191489,3.2,20.00680851,20,58.57957447,84,750,500,6.097,-6.9219,light
20,C1,14:07,03:42,,406.653951,3.194468085,3.6,20.00553191,20,58.28340426,82.5,0,499,6.097,-411.4615,dark
0,C1,11:26,00:12,,425.1434263,1.8,1.4,0,0,84.66861314,94.5,750,500,6.883,407.0182,light
0,C1,11:30,00:16,,425.0159363,1.8,2.5,0,0,85.02481752,94.5,0,499,6.883,-710.8557,dark
0,C1,11:52,00:38,,424.314741,1.8,1,0,0,86.98394161,95.1,750,499,6.845,812.3965,light
0,C1,11:55,00:41,,424.2191235,1.8,2,0,0,87.25109489,95.2,0,499,6.845,-203.0988,dark
0,C1,12:16,01:02,,423.5498008,1.8,0.9,0,0,89.12116788,95.6,750,499,6.807,913.9337,light
0,C1,12:19,01:05,,423.4541833,1.8,2.1,0,0,89.38832117,95.6,0,499,6.807,-304.644,dark
0,C1,12:41,01:27,,422.752988,1.8,0.9,0,0,91.34744526,95.8,750,500,6.777,915.7523,light
0,C1,12:44,01:30,,422.6573705,1.8,2.2,0,0,91.61459854,95.9,0,499,6.777,-406.1863,dark
0,C1,13:06,01:52,,421.9561753,1.8,1,0,0,93.57372263,95.9,750,499,6.741,812.3626,light
0,C1,13:09,01:55,,421.8605578,1.8,2.2,0,0,93.84087591,96.1,0,499,6.741,-406.1806,dark
0,C1,13:43,02:29,,420.7768924,1.915503876,1.1,0.231007752,0,94.60645995,95.9,750,500,6.686,829.7518,light
0,C1,13:46,02:32,,420.6812749,1.917829457,2.3,0.235658915,0,94.58242894,95.9,0,499,6.686,-388.0699,dark
0,C1,14:10,02:56,,419.9163347,1.936434109,1.3,0.272868217,0,94.39018088,96,750,500,6.642,647.5532,light
0,C1,14:14,03:00,,419.7888446,1.939534884,2.3,0.279069767,0,94.35813953,96.1,0,500,6.642,-366.7627,dark
0,C1,14:37,03:23,,419.0557769,1.957364341,1.3,0.314728682,0,94.17390181,96.3,750,499,6.606,667.5111,light
0,C1,14:41,03:27,,418.9282869,1.960465116,2.3,0.320930233,0,94.14186047,96.3,0,499,6.606,-344.7757,dark
0,C1,15:03,03:49,,418.2270916,1.97751938,1.2,0.35503876,0,93.96563307,96.4,750,499,6.5631,789.5204,light
0,C1,15:07,03:53,,418.0996016,1.980620155,2.4,0.36124031,0,93.93359173,96.4,0,499,6.5631,-425.853,dark
0,C1,15:32,04:18,,417.3027888,2,1,0.4,0,93.73333333,96.4,750,500,6.518,1017.4695,light
0,C1,15:36,04:22,,417.1752988,2.003100775,2.4,0.40620155,0,93.70129199,96.4,0,499,6.518,-403.0252,dark
0,C1,16:04,04:50,,416.2828685,2.024806202,1.1,0.449612403,0,93.47700258,96.2,750,499,6.457,939.0797,light
0,C1,16:09,04:55,,416.123506,2.028682171,2.3,0.457364341,0,93.4369509,96.3,0,500,6.457,-276.0574,dark
0,C1,16:48,05:34,,414.8804781,2.058914729,1.5,0.517829457,0,93.1245478,95.8,750,500,6.372,568.678,light
0,C1,16:52,05:38,,414.752988,2.062015504,2.4,0.524031008,0,93.09250646,95.8,0,499,6.372,-343.2007,dark
0,C1,17:17,06:03,,413.9561753,2.081395349,1.6,0.562790698,0,92.89224806,95.4,750,500,6.298,489.8043,light
0,C1,17:20,06:06,,413.8605578,2.08372093,2.4,0.567441861,-0.1,92.86821705,95.5,0,499,6.298,-321.1601,dark
5,C1,16:12,03:24,,424,3.242857143,3,5,4.9,96.77142857,96.9,750,500,6.46,247.0347,light
5,C1,16:16,03:28,,424,3.261344538,4.7,5,5,96.78655462,97,0,500,6.46,-1463.4024,dark
5,C1,16:58,04:10,,424,3.4,2.6,5.125944584,4.9,95.13677582,96.7,750,500,6.403,813.7671,light
5,C1,17:02,04:14,,424,3.4,4.4,5.127959698,5,95.10856423,96.7,0,500,6.403,-1017.209,dark
5,C1,17:30,04:42,,424,3.4,2.5,5.142065491,5,94.91108312,96.7,750,500,6.345,915.489,light
5,C1,17:36,04:48,,424,3.4,4,5.145088161,5,94.86876574,96.8,0,500,6.345,-610.3261,dark
5,C1,18:08,05:20,,424,3.4,2.5,5.161209068,4.9,94.64307305,96.5,750,500,6.288,915.4902,light
5,C1,18:12:00,05:24:00,,424,3.4,3.9,5.163224181,5,94.61486146,96.5,0,500,6.288,-508.6057,dark
5,C1,18:36:00,05:48:00,,424,3.4,2.8,5.175314861,4.9,94.44559194,96.2,750,501,6.249,611.548,light
5,C1,18:39:00,05:51:00,,424,3.4,3.8,5.176826196,5,94.42443325,96.2,0,500,6.249,-406.8849,dark
17.5,C1,10:30,00:14,,409.9144385,2.16125,1.4,17.40875,17.4,85.02375,96.5,750,500,6.901,773.6664,light
17.5,C1,10:35,00:19,,409.8342246,2.183125,4.9,17.411875,17.6,84.639375,95,0,499,6.901,-2755.6872,dark
17.5,C1,10:59,00:43,,409.4491979,2.288125,1.4,17.426875,17.4,82.794375,88.1,750,500,6.743,902.6505,light
17.5,C1,11:03,00:47,,409.3850267,2.305625,4.5,17.429375,17.6,82.486875,89.1,0,499,6.743,-2225.8175,dark
17.5,C1,11:28,01:12,,408.9839572,2.415,1.5,17.445,17.5,80.565,86.1,750,499,6.583,928.146,light
17.5,C1,11:32,01:16,,408.9197861,2.4325,4.7,17.4475,17.6,80.2575,86.2,0,500,6.583,-2304.701,dark
17.5,C1,11:57,01:41,,408.5187166,2.541875,1.6,17.463125,17.6,78.335625,89.6,750,499,6.45,955.4493,light
17.5,C1,12:00,01:44,,408.4705882,2.555,4.3,17.465,17.4,78.105,89.3,0,499,6.45,-1770.157,dark
17.5,C1,12:28,02:12,,408.0213904,2.6775,1.7,17.4825,17.5,75.9525,81.8,750,499,6.281,991.6347,light
17.5,C1,12:31,02:15,,407.973262,2.690625,3.9,17.484375,17.6,75.721875,83.6,0,499,6.281,-1226.8682,dark
17.5,C1,13:06,02:50,,407.4117647,3.001581028,2.4,17.5,17.6,83.94624506,81.1,750,499,6.154,610.1778,light
17.5,C1,13:10,02:54,,407.3475936,3.006324111,3.4,17.5,17.5,84.18498024,80.9,0,500,6.154,-400.0999,dark
17.5,C1,13:29,03:13,,407.0427807,3.028853755,2.7,17.5,17.5,85.31897233,88.2,750,499,6.122,333.5437,light
17.5,C1,13:32,03:16:00,,406.9946524,3.032411067,3.6,17.5,17.5,85.49802372,88.3,0,500,6.122,-576.8351,dark
15,C1,12:46,00:17,,429.8285164,2.923611111,4.8,15.12916667,15,73.70694444,95.5,0,499,6.9249,-1904.0142,dark
15,C1,12:52,00:23,,429.504817,2.931944444,1.8,15.10416667,15,75.01527778,96.3,750,499,6.9249,1148.5853,light
15,C1,12:59,00:30,,429.1271676,2.941666667,4.9,15.075,14.9,76.54166667,96.4,0,499,6.8577,-1987.0743,dark
15,C1,13:04,00:35,,428.8574181,2.948611111,1.7,15.05416667,15,77.63194444,96.7,750,499,6.8577,1266.9138,light
15,C1,13:13,00:44,,428.371869,2.961111111,5.1,15.01666667,14.9,79.59444444,95.2,0,500,6.782,-2174.5227,dark
15,C1,13:19,00:50,,428.0481696,2.969444444,1.6,14.99166667,15,80.90277778,96.3,750,500,6.782,1392.2304,light
15,C1,13:30,01:01,,427.4547206,2.984722222,4.6,14.94583333,15,83.30138889,95.4,0,500,6.6779,-1642.0917,dark
15,C1,13:35,01:06,,427.1849711,2.991666667,1.8,14.925,15,84.39166667,96.1,750,500,6.6779,1211.4277,light
15,C1,13:47,01:18,,426.5375723,3.045348837,2.2,14.9,15,86.69767442,94.9,750,499,6.591,857.6156,light
15,C1,13:50,01:21,,426.3757225,3.047093023,4.3,14.9,15,86.73604651,95.5,0,500,6.591,-1273.6342,dark
15,C1,13:57,01:28,,425.9980732,3.051162791,2.4,14.9,14.9,86.8255814,94.8,750,499,6.529,660.6103,light
15,C1,14:00,01:31,,425.8362235,3.052906977,4.3,14.9,15,86.86395349,95.4,0,500,6.529,-1267.7212,dark
15,C1,14:07,01:38,,425.4585742,3.056976744,2.2,14.9,15,86.95348837,94.6,750,500,6.4861,871.1507,light
15,C1,14:11,01:42,,425.2427746,3.059302326,4.3,14.9,15.1,87.00465116,94.3,0,499,6.4861,-1258.6945,dark
15,C1,14:19,01:50,,424.8111753,3.063953488,2,14.9,15,87.10697674,94.1,750,500,6.4398,1081.5478,light
15,C1,14:22,01:53,,424.6493256,3.065697674,4.2,14.9,15,87.14534884,94.1,0,500,6.4398,-1153.0592,dark
15,C1,14:30,02:01,,424.2177264,3.070348837,2.2,14.9,15,87.24767442,94,750,499,6.3931,882.9699,light
15,C1,14:34,02:05,,424.0019268,3.072674419,4.2,14.9,15,87.29883721,94,0,500,6.3931,-1145.964,dark
15,C1,14:57,02:28,,422.761079,3.086046512,2,14.9,15.2,87.59302326,94.9,750,499,6.375,1101.7887,light
15,C1,15:01,02:32,,422.5452794,3.088372093,4.3,14.9,15,87.64418605,95.6,0,500,6.375,-1231.6526,dark
15,C1,15:31,03:02,,420.9267823,3.252089136,2,14.95069638,14.9,74.41476323,95.4,750,500,6.316,1273.0725,light
15,C1,15:35,03:06,,420.7109827,3.255431755,4.1,14.95181058,15,74.1183844,94.4,0,500,6.316,-858.7265,dark
15,C1,15:58,03:29,,419.4701349,3.274651811,2,14.95821727,14.9,72.41420613,94.2,750,499,6.2625,1293.466,light
15,C1,16:02,03:33,,419.2543353,3.277994429,3.9,14.95933148,14.9,72.1178273,92.8,0,499,6.2625,-631.1898,dark
15,C1,16:25,03:56,,418.0134875,3.297214485,2.1,14.96573816,14.9,70.41364903,93.8,750,499,6.217,1214.9278,light
15,C1,16:29,04:00,,417.7976879,3.300557103,3.7,14.96685237,15,70.11727019,91,0,500,6.217,-406.1672,dark
15,C1,16:50,04:21,,416.6647399,3.31810585,2.7,14.97270195,15,68.56128134,93,750,499,6.1767,627.2711,light
15,C1,16:54,04:25,,416.4489403,3.321448468,3.6,14.97381616,14.9,68.26490251,91.1,0,500,6.1767,-283.2498,dark
10,C1,13:38,00:14,,410,2.090322581,0.3,9.992473118,10,96.01505376,96.8,750,500,6.707,1820.4893,light
10,C1,13:43,00:19,,410,2.122580645,1.4,9.989784946,10,96.02043011,97.2,0,499,6.707,733.2866,dark
10,C1,14:06,00:42,,410,2.270967742,-0.3,9.977419355,9.9,96.04516129,97.5,750,500,6.635,2614.2904,light
10,C1,14:10,00:46,,410,2.296774194,1.7,9.975268817,10,96.04946237,97.5,0,500,6.635,606.8303,dark
10,C1,14:29,01:05,,410,2.419354839,-0.5,9.965053763,9.9,96.06989247,97.4,750,499,6.566,2962.6131,light
10,C1,14:36,01:12,,410,2.464516129,2.8,9.961290323,10.1,96.07741935,97.6,0,500,6.566,-341.1373,dark
10,C1,14:56,01:32,,410,2.593548387,0.6,9.950537634,9.9,96.09892473,97.3,750,499,6.519,2023.0899,light
10,C1,15:00,01:36,,410,2.619354839,3,9.948387097,10,96.10322581,97.5,0,499,6.519,-386.2858,dark
10,C1,15:21,01:57,,410,2.75483871,0.7,9.937096774,10,96.12580645,97.3,750,499,6.4665,2085.29,light
10,C1,15:25,02:01,,410,2.780645161,3.1,9.934946237,9.9,96.13010753,97.4,0,500,6.4665,-324.737,dark
10,C1,15:43,02:19,,410,2.896774194,1.3,9.925268817,10,96.14946237,97.2,750,500,6.4134,1623.6858,light
10,C1,15:47,02:23,,410,2.922580645,3.3,9.92311828,9.9,96.15376344,97.3,0,500,6.4134,-383.7803,dark
10,C1,16:07,02:43,,410,3.051612903,1.7,9.912365591,10,96.17526882,97.1,750,499,6.3646,1371.6448,light
10,C1,16:10,02:46,,410,3.070967742,3.7,9.910752688,9.9,96.17849462,97.1,0,499,6.3646,-638.355,dark
10,C1,16:38,03:14,,410,3.609859155,2.1,9.9,10,95.8584507,96.5,750,500,6.311,1535.3147,light
10,C1,16:40,03:16,,410,3.614084507,3.6,9.9,9.8,95.85492958,96.7,0,500,6.311,14.322,dark
10,C1,16:58,03:34,,410,3.652112676,2.5,9.9,10,95.82323944,96.3,750,500,6.265,1171.5373,light
