1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F700000071898B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 06:01:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 16:31:01 BST 2023
Total Mission Samples:  6346
Total Device Samples:  23317
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 16:31:01,%RH,75.72
20/07/23 16:46:01,%RH,73.55
20/07/23 17:01:01,%RH,74.112
20/07/23 17:16:01,%RH,72.987
20/07/23 17:31:01,%RH,72.502
20/07/23 17:46:01,%RH,72.422
20/07/23 18:01:01,%RH,76.743
20/07/23 18:16:01,%RH,74.112
20/07/23 18:31:01,%RH,75.633
20/07/23 18:46:01,%RH,74.112
20/07/23 19:01:01,%RH,71.289
20/07/23 19:16:01,%RH,73.956
20/07/23 19:31:01,%RH,77.7
20/07/23 19:46:01,%RH,80.84
20/07/23 20:01:01,%RH,81.382
20/07/23 20:16:01,%RH,81.855
20/07/23 20:31:01,%RH,82.394
20/07/23 20:46:01,%RH,81.855
20/07/23 21:01:01,%RH,82.394
20/07/23 21:16:01,%RH,81.382
20/07/23 21:31:01,%RH,83.468
20/07/23 21:46:01,%RH,85.534
20/07/23 22:01:01,%RH,84.003
20/07/23 22:16:01,%RH,86.063
20/07/23 22:31:01,%RH,84.471
20/07/23 22:46:01,%RH,82.394
20/07/23 23:01:01,%RH,82.328
20/07/23 23:16:01,%RH,82.328
20/07/23 23:31:01,%RH,81.789
20/07/23 23:46:01,%RH,81.725
21/07/23 00:01:01,%RH,84.347
21/07/23 00:16:01,%RH,83.874
21/07/23 00:31:01,%RH,82.803
21/07/23 00:46:01,%RH,80.163
21/07/23 01:01:01,%RH,79.618
21/07/23 01:16:01,%RH,84.347
21/07/23 01:31:01,%RH,84.347
21/07/23 01:46:01,%RH,81.248
21/07/23 02:01:01,%RH,81.789
21/07/23 02:16:01,%RH,80.163
21/07/23 02:31:01,%RH,80.099
21/07/23 02:46:01,%RH,83.278
21/07/23 03:01:01,%RH,82.203
21/07/23 03:16:01,%RH,83.218
21/07/23 03:31:01,%RH,84.287
21/07/23 03:46:01,%RH,84.287
21/07/23 04:01:01,%RH,80.58
21/07/23 04:16:01,%RH,82.741
21/07/23 04:31:01,%RH,74.158
21/07/23 04:46:01,%RH,75.274
21/07/23 05:01:01,%RH,76.319
21/07/23 05:16:01,%RH,77.36
21/07/23 05:31:01,%RH,79.554
21/07/23 05:46:01,%RH,78.46
21/07/23 06:01:01,%RH,77.975
21/07/23 06:16:01,%RH,76.319
21/07/23 06:31:01,%RH,76.808
21/07/23 06:46:01,%RH,76.872
21/07/23 07:01:01,%RH,75.83
21/07/23 07:16:01,%RH,74.717
21/07/23 07:31:01,%RH,71.481
21/07/23 07:46:01,%RH,70.913
21/07/23 08:01:01,%RH,72.683
21/07/23 08:16:01,%RH,73.104
21/07/23 08:31:01,%RH,73.246
21/07/23 08:46:01,%RH,69.348
21/07/23 09:01:01,%RH,68.201
21/07/23 09:16:01,%RH,69.348
21/07/23 09:31:01,%RH,73.246
21/07/23 09:46:01,%RH,68.702
21/07/23 10:01:01,%RH,70.416
21/07/23 10:16:01,%RH,67.552
21/07/23 10:31:01,%RH,70.345
21/07/23 10:46:01,%RH,68.276
21/07/23 11:01:01,%RH,70.913
21/07/23 11:16:01,%RH,70.416
21/07/23 11:31:01,%RH,67.7
21/07/23 11:46:01,%RH,66.544
21/07/23 12:01:01,%RH,70.416
21/07/23 12:16:01,%RH,70.985
21/07/23 12:31:01,%RH,74.226
21/07/23 12:46:01,%RH,75.899
21/07/23 13:01:01,%RH,72.683
21/07/23 13:16:01,%RH,69.005
21/07/23 13:31:01,%RH,67.277
21/07/23 13:46:01,%RH,71.553
21/07/23 14:01:01,%RH,74.296
21/07/23 14:16:01,%RH,73.174
21/07/23 14:31:01,%RH,73.736
21/07/23 14:46:01,%RH,74.785
21/07/23 15:01:01,%RH,75.899
21/07/23 15:16:01,%RH,75.899
21/07/23 15:31:01,%RH,75.343
21/07/23 15:46:01,%RH,77.49
21/07/23 16:01:01,%RH,79.618
21/07/23 16:16:01,%RH,81.248
21/07/23 16:31:01,%RH,81.789
21/07/23 16:46:01,%RH,83.874
21/07/23 17:01:01,%RH,83.874
21/07/23 17:16:01,%RH,90.642
21/07/23 17:31:01,%RH,91.157
21/07/23 17:46:01,%RH,92.695
21/07/23 18:01:01,%RH,92.184
21/07/23 18:16:01,%RH,92.184
21/07/23 18:31:01,%RH,91.671
21/07/23 18:46:01,%RH,96.177
21/07/23 19:01:01,%RH,97.176
21/07/23 19:16:01,%RH,96.677
21/07/23 19:31:01,%RH,98.169
21/07/23 19:46:01,%RH,97.619
21/07/23 20:01:01,%RH,97.122
21/07/23 20:16:01,%RH,96.123
21/07/23 20:31:01,%RH,96.071
21/07/23 20:46:01,%RH,95.57
21/07/23 21:01:01,%RH,94.562
21/07/23 21:16:01,%RH,95.067
21/07/23 21:31:01,%RH,93.04
21/07/23 21:46:01,%RH,92.53
21/07/23 22:01:01,%RH,92.018
21/07/23 22:16:01,%RH,89.958
21/07/23 22:31:01,%RH,89.439
21/07/23 22:46:01,%RH,89.388
21/07/23 23:01:01,%RH,87.823
21/07/23 23:16:01,%RH,88.868
21/07/23 23:31:01,%RH,88.346
21/07/23 23:46:01,%RH,89.388
22/07/23 00:01:01,%RH,88.868
22/07/23 00:16:01,%RH,88.346
22/07/23 00:31:01,%RH,89.388
22/07/23 00:46:01,%RH,88.868
22/07/23 01:01:01,%RH,88.868
22/07/23 01:16:01,%RH,87.823
22/07/23 01:31:01,%RH,88.868
22/07/23 01:46:01,%RH,87.298
22/07/23 02:01:01,%RH,87.823
22/07/23 02:16:01,%RH,87.298
22/07/23 02:31:01,%RH,86.298
22/07/23 02:46:01,%RH,85.769
22/07/23 03:01:01,%RH,85.239
22/07/23 03:16:01,%RH,85.239
22/07/23 03:31:01,%RH,84.708
22/07/23 03:46:01,%RH,84.708
22/07/23 04:01:01,%RH,84.23
22/07/23 04:16:01,%RH,83.696
22/07/23 04:31:01,%RH,87.985
22/07/23 04:46:01,%RH,79.976
22/07/23 05:01:01,%RH,82.143
22/07/23 05:16:01,%RH,85.939
22/07/23 05:31:01,%RH,79.492
22/07/23 05:46:01,%RH,76.745
22/07/23 06:01:01,%RH,78.885
22/07/23 06:16:01,%RH,77.848
22/07/23 06:31:01,%RH,66.544
22/07/23 06:46:01,%RH,62.454
22/07/23 07:01:01,%RH,65.964
22/07/23 07:16:01,%RH,64.37
22/07/23 07:31:01,%RH,62.968
22/07/23 07:46:01,%RH,61.505
22/07/23 08:01:01,%RH,57.927
22/07/23 08:16:01,%RH,56.644
22/07/23 08:31:01,%RH,69.275
22/07/23 08:46:01,%RH,73.666
22/07/23 09:01:01,%RH,69.203
22/07/23 09:16:01,%RH,55.519
22/07/23 09:31:01,%RH,56.109
22/07/23 09:46:01,%RH,62.531
22/07/23 10:01:01,%RH,67.552
22/07/23 10:16:01,%RH,64.876
22/07/23 10:31:01,%RH,60.318
22/07/23 10:46:01,%RH,66.469
22/07/23 11:01:01,%RH,73.881
22/07/23 11:16:01,%RH,67.625
22/07/23 11:31:01,%RH,61.427
22/07/23 11:46:01,%RH,64.449
22/07/23 12:01:01,%RH,62.018
22/07/23 12:16:01,%RH,58.6
22/07/23 12:31:01,%RH,55.519
22/07/23 12:46:01,%RH,57.401
22/07/23 13:01:01,%RH,58.6
22/07/23 13:16:01,%RH,54.373
22/07/23 13:31:01,%RH,54.34
22/07/23 13:46:01,%RH,55.549
22/07/23 14:01:01,%RH,55.549
22/07/23 14:16:01,%RH,56.168
22/07/23 14:31:01,%RH,55.58
