1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F30000007C0A7941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 22:41:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 16:26:01 BST 2023
Total Mission Samples:  6279
Total Device Samples:  32386
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 16:26:01,%RH,76.534
20/07/23 16:41:01,%RH,76.464
20/07/23 16:56:01,%RH,77.535
20/07/23 17:11:01,%RH,77.535
20/07/23 17:26:01,%RH,77.467
20/07/23 17:41:01,%RH,79.59
20/07/23 17:56:01,%RH,78.996
20/07/23 18:11:01,%RH,80.117
20/07/23 18:26:01,%RH,78
20/07/23 18:41:01,%RH,77.535
20/07/23 18:56:01,%RH,75.996
20/07/23 19:11:01,%RH,73.9
20/07/23 19:26:01,%RH,81.1
20/07/23 19:41:01,%RH,85.106
20/07/23 19:56:01,%RH,85.615
20/07/23 20:11:01,%RH,86.629
20/07/23 20:26:01,%RH,87.578
20/07/23 20:41:01,%RH,86.629
20/07/23 20:56:01,%RH,87.075
20/07/23 21:11:01,%RH,86.629
20/07/23 21:26:01,%RH,86.57
20/07/23 21:41:01,%RH,88.579
20/07/23 21:56:01,%RH,89.077
20/07/23 22:11:01,%RH,89.517
20/07/23 22:26:01,%RH,88.023
20/07/23 22:41:01,%RH,86.57
20/07/23 22:56:01,%RH,81.558
20/07/23 23:11:01,%RH,80.512
20/07/23 23:26:01,%RH,81.558
20/07/23 23:41:01,%RH,81.496
20/07/23 23:56:01,%RH,82.994
21/07/23 00:11:01,%RH,82.994
21/07/23 00:26:01,%RH,82.536
21/07/23 00:41:01,%RH,81.036
21/07/23 00:56:01,%RH,80.512
21/07/23 01:11:01,%RH,82.476
21/07/23 01:26:01,%RH,84.479
21/07/23 01:41:01,%RH,78.466
21/07/23 01:56:01,%RH,77.934
21/07/23 02:11:01,%RH,75.792
21/07/23 02:26:01,%RH,76.265
21/07/23 02:41:01,%RH,77.807
21/07/23 02:56:01,%RH,77.87
21/07/23 03:11:01,%RH,81.436
21/07/23 03:26:01,%RH,82.418
21/07/23 03:41:01,%RH,81.899
21/07/23 03:56:01,%RH,80.39
21/07/23 04:11:01,%RH,80.914
21/07/23 04:26:01,%RH,73.144
21/07/23 04:41:01,%RH,73.623
21/07/23 04:56:01,%RH,72.596
21/07/23 05:11:01,%RH,76.202
21/07/23 05:26:01,%RH,76.739
21/07/23 05:41:01,%RH,77.807
21/07/23 05:56:01,%RH,76.202
