1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 430000007C147B41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 22:41:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 16:26:01 BST 2023
Total Mission Samples:  6279
Total Device Samples:  32170
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 16:26:01,%RH,78.529
20/07/23 16:41:01,%RH,78.389
20/07/23 16:56:01,%RH,81.079
20/07/23 17:11:01,%RH,81.011
20/07/23 17:26:01,%RH,79.469
20/07/23 17:41:01,%RH,83.072
20/07/23 17:56:01,%RH,81.545
20/07/23 18:11:01,%RH,83.137
20/07/23 18:26:01,%RH,81.079
20/07/23 18:41:01,%RH,78.389
20/07/23 18:56:01,%RH,77.916
20/07/23 19:11:01,%RH,70.95
20/07/23 19:26:01,%RH,84.588
20/07/23 19:41:01,%RH,86.154
20/07/23 19:56:01,%RH,88.161
20/07/23 20:11:01,%RH,89.187
20/07/23 20:26:01,%RH,89.697
20/07/23 20:41:01,%RH,88.675
20/07/23 20:56:01,%RH,89.187
20/07/23 21:11:01,%RH,89.187
20/07/23 21:26:01,%RH,90.206
20/07/23 21:41:01,%RH,90.656
20/07/23 21:56:01,%RH,92.671
20/07/23 22:11:01,%RH,91.666
20/07/23 22:26:01,%RH,89.639
20/07/23 22:41:01,%RH,88.161
20/07/23 22:56:01,%RH,82.543
20/07/23 23:11:01,%RH,82.543
20/07/23 23:26:01,%RH,81.48
20/07/23 23:41:01,%RH,81.948
20/07/23 23:56:01,%RH,82.418
21/07/23 00:11:01,%RH,83.476
21/07/23 00:26:01,%RH,83.009
21/07/23 00:41:01,%RH,83.009
21/07/23 00:56:01,%RH,82.479
21/07/23 01:11:01,%RH,84.002
