1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 4400000078636941
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 06:01:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 16:16:01 BST 2023
Total Mission Samples:  6345
Total Device Samples:  24400
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 16:16:01,%RH,80.081
20/07/23 16:31:01,%RH,81.139
20/07/23 16:46:01,%RH,82.189
20/07/23 17:01:01,%RH,81.665
20/07/23 17:16:01,%RH,81.139
20/07/23 17:31:01,%RH,79.085
20/07/23 17:46:01,%RH,79.619
20/07/23 18:01:01,%RH,82.122
20/07/23 18:16:01,%RH,79.157
20/07/23 18:31:01,%RH,79.085
20/07/23 18:46:01,%RH,79.085
20/07/23 19:01:01,%RH,77.153
20/07/23 19:16:01,%RH,78.48
20/07/23 19:31:01,%RH,84.716
20/07/23 19:46:01,%RH,87.138
20/07/23 20:01:01,%RH,88.145
20/07/23 20:16:01,%RH,89.582
20/07/23 20:31:01,%RH,90.077
20/07/23 20:46:01,%RH,88.646
20/07/23 21:01:01,%RH,89.084
20/07/23 21:16:01,%RH,88.646
20/07/23 21:31:01,%RH,90.077
20/07/23 21:46:01,%RH,92.527
20/07/23 22:01:01,%RH,90.137
20/07/23 22:16:01,%RH,91.552
20/07/23 22:31:01,%RH,90.077
20/07/23 22:46:01,%RH,83.684
20/07/23 23:01:01,%RH,82.644
20/07/23 23:16:01,%RH,82.644
20/07/23 23:31:01,%RH,82.579
20/07/23 23:46:01,%RH,82.579
21/07/23 00:01:01,%RH,83.036
21/07/23 00:16:01,%RH,84.073
21/07/23 00:31:01,%RH,83.555
21/07/23 00:46:01,%RH,81.071
21/07/23 01:01:01,%RH,81.532
21/07/23 01:16:01,%RH,84.588
21/07/23 01:31:01,%RH,84.073
21/07/23 01:46:01,%RH,77.943
21/07/23 02:01:01,%RH,77.404
21/07/23 02:16:01,%RH,76.863
21/07/23 02:31:01,%RH,77.336
21/07/23 02:46:01,%RH,81.468
21/07/23 03:01:01,%RH,80.413
21/07/23 03:16:01,%RH,81.993
21/07/23 03:31:01,%RH,82.975
21/07/23 03:46:01,%RH,82.975
21/07/23 04:01:01,%RH,78.882
21/07/23 04:16:01,%RH,81.993
21/07/23 04:31:01,%RH,74.132
21/07/23 04:46:01,%RH,75.776
