1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: C50000007C08CF41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 22:41:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 16:41:01 BST 2023
Total Mission Samples:  6280
Total Device Samples:  24891
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 16:41:01,%RH,57.307
20/07/23 16:56:01,%RH,63.918
20/07/23 17:11:01,%RH,64.468
20/07/23 17:26:01,%RH,66.248
20/07/23 17:41:01,%RH,65.636
20/07/23 17:56:01,%RH,69.145
20/07/23 18:11:01,%RH,72.037
20/07/23 18:26:01,%RH,63.894
20/07/23 18:41:01,%RH,66.858
20/07/23 18:56:01,%RH,56.691
20/07/23 19:11:01,%RH,48.799
20/07/23 19:26:01,%RH,69.214
20/07/23 19:41:01,%RH,76.207
20/07/23 19:56:01,%RH,78.833
20/07/23 20:11:01,%RH,78.833
20/07/23 20:26:01,%RH,80.891
20/07/23 20:41:01,%RH,80.43
20/07/23 20:56:01,%RH,80.43
20/07/23 21:11:01,%RH,79.9
20/07/23 21:26:01,%RH,78.833
20/07/23 21:41:01,%RH,81.944
20/07/23 21:56:01,%RH,81.944
20/07/23 22:11:01,%RH,83.963
20/07/23 22:26:01,%RH,83.963
20/07/23 22:41:01,%RH,82.402
20/07/23 22:56:01,%RH,80.362
20/07/23 23:11:01,%RH,80.362
20/07/23 23:26:01,%RH,80.362
20/07/23 23:41:01,%RH,80.826
20/07/23 23:56:01,%RH,83.381
21/07/23 00:11:01,%RH,83.9
21/07/23 00:26:01,%RH,83.9
21/07/23 00:41:01,%RH,82.402
21/07/23 00:56:01,%RH,80.297
21/07/23 01:11:01,%RH,82.799
21/07/23 01:26:01,%RH,85.326
21/07/23 01:41:01,%RH,77.692
21/07/23 01:56:01,%RH,77.692
21/07/23 02:11:01,%RH,78.699
21/07/23 02:26:01,%RH,74.498
21/07/23 02:41:01,%RH,76.002
21/07/23 02:56:01,%RH,76.002
21/07/23 03:11:01,%RH,80.7
21/07/23 03:26:01,%RH,82.218
21/07/23 03:41:01,%RH,82.74
21/07/23 03:56:01,%RH,80.171
21/07/23 04:11:01,%RH,80.7
21/07/23 04:26:01,%RH,72.359
21/07/23 04:41:01,%RH,73.948
21/07/23 04:56:01,%RH,69.63
21/07/23 05:11:01,%RH,74.978
21/07/23 05:26:01,%RH,75.458
21/07/23 05:41:01,%RH,76.002
21/07/23 05:56:01,%RH,75.524
21/07/23 06:11:01,%RH,73.88
21/07/23 06:26:01,%RH,74.363
21/07/23 06:41:01,%RH,73.328
21/07/23 06:56:01,%RH,72.359
21/07/23 07:11:01,%RH,71.244
21/07/23 07:26:01,%RH,68.572
21/07/23 07:41:01,%RH,68.498
21/07/23 07:56:01,%RH,65.711
21/07/23 08:11:01,%RH,66.286
21/07/23 08:26:01,%RH,69.065
21/07/23 08:41:01,%RH,65.785
