1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: BA0000007C14F541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 22:41:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 16:41:01 BST 2023
Total Mission Samples:  6280
Total Device Samples:  32204
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 16:41:01,%RH,78.004
20/07/23 16:56:01,%RH,77.932
20/07/23 17:11:01,%RH,77.394
20/07/23 17:26:01,%RH,77.394
20/07/23 17:41:01,%RH,79.468
20/07/23 17:56:01,%RH,78.867
20/07/23 18:11:01,%RH,80.001
20/07/23 18:26:01,%RH,78.469
20/07/23 18:41:01,%RH,77.932
20/07/23 18:56:01,%RH,76.385
20/07/23 19:11:01,%RH,72.156
20/07/23 19:26:01,%RH,80.995
20/07/23 19:41:01,%RH,85.055
20/07/23 19:56:01,%RH,87.116
20/07/23 20:11:01,%RH,87.056
20/07/23 20:26:01,%RH,88.587
20/07/23 20:41:01,%RH,87.116
20/07/23 20:56:01,%RH,87.568
20/07/23 21:11:01,%RH,88.078
20/07/23 21:26:01,%RH,87.568
20/07/23 21:41:01,%RH,90.61
20/07/23 21:56:01,%RH,91.555
20/07/23 22:11:01,%RH,90.552
20/07/23 22:26:01,%RH,88.529
20/07/23 22:41:01,%RH,87.568
20/07/23 22:56:01,%RH,81.985
20/07/23 23:11:01,%RH,82.51
20/07/23 23:26:01,%RH,80.929
20/07/23 23:41:01,%RH,82.447
20/07/23 23:56:01,%RH,82.91
21/07/23 00:11:01,%RH,83.433
21/07/23 00:26:01,%RH,82.971
21/07/23 00:41:01,%RH,81.457
21/07/23 00:56:01,%RH,80.399
21/07/23 01:11:01,%RH,83.955
21/07/23 01:26:01,%RH,83.896
21/07/23 01:41:01,%RH,81.921
21/07/23 01:56:01,%RH,79.335
21/07/23 02:11:01,%RH,77.728
21/07/23 02:26:01,%RH,78.737
21/07/23 02:41:01,%RH,80.273
21/07/23 02:56:01,%RH,78.201
21/07/23 03:11:01,%RH,81.8
21/07/23 03:26:01,%RH,83.374
21/07/23 03:41:01,%RH,83.374
21/07/23 03:56:01,%RH,82.91
21/07/23 04:11:01,%RH,81.272
21/07/23 04:26:01,%RH,75.633
21/07/23 04:41:01,%RH,76.109
21/07/23 04:56:01,%RH,73.518
21/07/23 05:11:01,%RH,76.045
21/07/23 05:26:01,%RH,77.664
21/07/23 05:41:01,%RH,78.201
21/07/23 05:56:01,%RH,76.65
21/07/23 06:11:01,%RH,74.958
21/07/23 06:26:01,%RH,75.502
21/07/23 06:41:01,%RH,76.109
21/07/23 06:56:01,%RH,73.998
21/07/23 07:11:01,%RH,72.969
21/07/23 07:26:01,%RH,70.271
21/07/23 07:41:01,%RH,70.757
21/07/23 07:56:01,%RH,69.154
21/07/23 08:11:01,%RH,69.154
21/07/23 08:26:01,%RH,70.201
21/07/23 08:41:01,%RH,68.666
21/07/23 08:56:01,%RH,66.41
21/07/23 09:11:01,%RH,67.541
21/07/23 09:26:01,%RH,69.154
21/07/23 09:41:01,%RH,69.154
21/07/23 09:56:01,%RH,69.154
21/07/23 10:11:01,%RH,68.594
21/07/23 10:26:01,%RH,71.866
21/07/23 10:41:01,%RH,69.785
21/07/23 10:56:01,%RH,70.827
21/07/23 11:11:01,%RH,71.312
21/07/23 11:26:01,%RH,69.785
21/07/23 11:41:01,%RH,67.614
21/07/23 11:56:01,%RH,70.827
21/07/23 12:11:01,%RH,73.039
21/07/23 12:26:01,%RH,74.066
21/07/23 12:41:01,%RH,75.089
21/07/23 12:56:01,%RH,75.701
21/07/23 13:11:01,%RH,74.136
21/07/23 13:26:01,%RH,70.416
21/07/23 13:41:01,%RH,71.936
21/07/23 13:56:01,%RH,76.176
21/07/23 14:11:01,%RH,74.612
21/07/23 14:26:01,%RH,75.158
