1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 14000000748EAC41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 22:41:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 16:26:01 BST 2023
Total Mission Samples:  6279
Total Device Samples:  48758
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 16:26:01,%RH,78.198
20/07/23 16:41:01,%RH,79.209
20/07/23 16:56:01,%RH,79.748
20/07/23 17:11:01,%RH,78.669
20/07/23 17:26:01,%RH,78.128
20/07/23 17:41:01,%RH,81.286
20/07/23 17:56:01,%RH,81.286
20/07/23 18:11:01,%RH,81.286
20/07/23 18:26:01,%RH,78.198
20/07/23 18:41:01,%RH,77.654
20/07/23 18:56:01,%RH,76.087
20/07/23 19:11:01,%RH,68.555
20/07/23 19:26:01,%RH,83.865
20/07/23 19:41:01,%RH,85.89
20/07/23 19:56:01,%RH,88.403
20/07/23 20:11:01,%RH,89.929
20/07/23 20:26:01,%RH,88.855
20/07/23 20:41:01,%RH,89.422
20/07/23 20:56:01,%RH,89.929
20/07/23 21:11:01,%RH,88.914
20/07/23 21:26:01,%RH,89.422
20/07/23 21:41:01,%RH,91.884
20/07/23 21:56:01,%RH,92.881
20/07/23 22:11:01,%RH,92.384
20/07/23 22:26:01,%RH,90.377
20/07/23 22:41:01,%RH,87.892
20/07/23 22:56:01,%RH,82.283
20/07/23 23:11:01,%RH,82.283
20/07/23 23:26:01,%RH,81.752
20/07/23 23:41:01,%RH,82.283
20/07/23 23:56:01,%RH,82.748
21/07/23 00:11:01,%RH,83.74
21/07/23 00:26:01,%RH,83.802
21/07/23 00:41:01,%RH,81.688
21/07/23 00:56:01,%RH,82.219
21/07/23 01:11:01,%RH,84.265
21/07/23 01:26:01,%RH,84.728
21/07/23 01:41:01,%RH,82.219
21/07/23 01:56:01,%RH,81.688
21/07/23 02:11:01,%RH,80.622
21/07/23 02:26:01,%RH,80.622
21/07/23 02:41:01,%RH,81.094
21/07/23 02:56:01,%RH,82.157
21/07/23 03:11:01,%RH,81.566
21/07/23 03:26:01,%RH,81.034
21/07/23 03:41:01,%RH,83.154
21/07/23 03:56:01,%RH,81.626
21/07/23 04:11:01,%RH,82.157
21/07/23 04:26:01,%RH,75.328
21/07/23 04:41:01,%RH,76.905
21/07/23 04:56:01,%RH,74.224
21/07/23 05:11:01,%RH,77.386
21/07/23 05:26:01,%RH,77.929
21/07/23 05:41:01,%RH,79.55
21/07/23 05:56:01,%RH,77.386
21/07/23 06:11:01,%RH,75.746
21/07/23 06:26:01,%RH,75.746
21/07/23 06:41:01,%RH,77.45
21/07/23 06:56:01,%RH,74.777
21/07/23 07:11:01,%RH,74.224
21/07/23 07:26:01,%RH,72.066
21/07/23 07:41:01,%RH,72.625
21/07/23 07:56:01,%RH,70.38
21/07/23 08:11:01,%RH,70.38
21/07/23 08:26:01,%RH,71.505
21/07/23 08:41:01,%RH,71.014
21/07/23 08:56:01,%RH,69.885
21/07/23 09:11:01,%RH,70.38
21/07/23 09:26:01,%RH,70.943
21/07/23 09:41:01,%RH,71.576
21/07/23 09:56:01,%RH,70.943
21/07/23 10:11:01,%RH,70.943
21/07/23 10:26:01,%RH,73.114
21/07/23 10:41:01,%RH,71.014
21/07/23 10:56:01,%RH,70.943
21/07/23 11:11:01,%RH,73.182
21/07/23 11:26:01,%RH,70.45
21/07/23 11:41:01,%RH,69.957
21/07/23 11:56:01,%RH,72.136
21/07/23 12:11:01,%RH,73.253
21/07/23 12:26:01,%RH,75.946
21/07/23 12:41:01,%RH,76.425
21/07/23 12:56:01,%RH,76.425
21/07/23 13:11:01,%RH,75.396
21/07/23 13:26:01,%RH,72.208
21/07/23 13:41:01,%RH,75.396
21/07/23 13:56:01,%RH,76.425
21/07/23 14:11:01,%RH,75.946
21/07/23 14:26:01,%RH,75.877
21/07/23 14:41:01,%RH,76.972
21/07/23 14:56:01,%RH,78.06
21/07/23 15:11:01,%RH,76.972
21/07/23 15:26:01,%RH,78.06
21/07/23 15:41:01,%RH,79.614
21/07/23 15:56:01,%RH,80.686
21/07/23 16:11:01,%RH,82.219
21/07/23 16:26:01,%RH,82.748
21/07/23 16:41:01,%RH,84.265
21/07/23 16:56:01,%RH,85.89
21/07/23 17:11:01,%RH,91.384
21/07/23 17:26:01,%RH,91.884
21/07/23 17:41:01,%RH,93.377
21/07/23 17:56:01,%RH,93.817
21/07/23 18:11:01,%RH,93.323
21/07/23 18:26:01,%RH,91.884
21/07/23 18:41:01,%RH,93.817
21/07/23 18:56:01,%RH,95.78
21/07/23 19:11:01,%RH,96.752
21/07/23 19:26:01,%RH,98.198
21/07/23 19:41:01,%RH,97.717
21/07/23 19:56:01,%RH,98.198
21/07/23 20:11:01,%RH,94.31
21/07/23 20:26:01,%RH,95.78
21/07/23 20:41:01,%RH,93.817
21/07/23 20:56:01,%RH,93.27
21/07/23 21:11:01,%RH,93.27
21/07/23 21:26:01,%RH,92.276
21/07/23 21:41:01,%RH,92.276
21/07/23 21:56:01,%RH,90.268
21/07/23 22:11:01,%RH,89.762
21/07/23 22:26:01,%RH,88.745
21/07/23 22:41:01,%RH,87.209
21/07/23 22:56:01,%RH,86.693
21/07/23 23:11:01,%RH,86.693
21/07/23 23:26:01,%RH,86.693
21/07/23 23:41:01,%RH,87.209
21/07/23 23:56:01,%RH,87.723
22/07/23 00:11:01,%RH,87.209
22/07/23 00:26:01,%RH,87.723
22/07/23 00:41:01,%RH,87.723
22/07/23 00:56:01,%RH,87.209
22/07/23 01:11:01,%RH,86.693
22/07/23 01:26:01,%RH,86.693
22/07/23 01:41:01,%RH,86.176
22/07/23 01:56:01,%RH,86.693
22/07/23 02:11:01,%RH,85.658
22/07/23 02:26:01,%RH,85.138
22/07/23 02:41:01,%RH,83.568
22/07/23 02:56:01,%RH,82.513
22/07/23 03:11:01,%RH,83.568
22/07/23 03:26:01,%RH,84.616
