1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 770000007A526541
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 06:02:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 16:47:01 BST 2023
Total Mission Samples:  6347
Total Device Samples:  23955
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 16:47:01,%RH,75.638
20/07/23 17:02:01,%RH,76.206
20/07/23 17:17:01,%RH,76.206
20/07/23 17:32:01,%RH,72.922
20/07/23 17:47:01,%RH,74.498
20/07/23 18:02:01,%RH,78.323
20/07/23 18:17:01,%RH,73.497
20/07/23 18:32:01,%RH,76.772
20/07/23 18:47:01,%RH,76.843
20/07/23 19:02:01,%RH,69.666
20/07/23 19:17:01,%RH,75.638
20/07/23 19:32:01,%RH,82.693
20/07/23 19:47:01,%RH,85.891
20/07/23 20:02:01,%RH,86.965
20/07/23 20:17:01,%RH,89.564
20/07/23 20:32:01,%RH,89.564
20/07/23 20:47:01,%RH,88.505
20/07/23 21:02:01,%RH,88.505
20/07/23 21:17:01,%RH,86.429
20/07/23 21:32:01,%RH,90.034
20/07/23 21:47:01,%RH,91.607
20/07/23 22:02:01,%RH,88.565
20/07/23 22:17:01,%RH,90.56
20/07/23 22:32:01,%RH,88.447
20/07/23 22:47:01,%RH,83.24
20/07/23 23:02:01,%RH,82.693
20/07/23 23:17:01,%RH,82.693
20/07/23 23:32:01,%RH,81.593
20/07/23 23:47:01,%RH,82.629
21/07/23 00:02:01,%RH,83.116
21/07/23 00:17:01,%RH,83.116
21/07/23 00:32:01,%RH,82.629
21/07/23 00:47:01,%RH,80.424
21/07/23 01:02:01,%RH,80.424
21/07/23 01:17:01,%RH,83.056
21/07/23 01:32:01,%RH,83.662
21/07/23 01:47:01,%RH,77.762
21/07/23 02:02:01,%RH,76.634
21/07/23 02:17:01,%RH,76.068
21/07/23 02:32:01,%RH,76.568
21/07/23 02:47:01,%RH,79.376
21/07/23 03:02:01,%RH,79.807
21/07/23 03:17:01,%RH,81.408
21/07/23 03:32:01,%RH,82.509
21/07/23 03:47:01,%RH,83.056
21/07/23 04:02:01,%RH,79.25
21/07/23 04:17:01,%RH,78.753
21/07/23 04:32:01,%RH,72.638
21/07/23 04:47:01,%RH,72.707
21/07/23 05:02:01,%RH,75.937
21/07/23 05:17:01,%RH,76.504
21/07/23 05:32:01,%RH,77.632
21/07/23 05:47:01,%RH,76.504
21/07/23 06:02:01,%RH,76.002
21/07/23 06:17:01,%RH,73.656
21/07/23 06:32:01,%RH,74.8
21/07/23 06:47:01,%RH,76.568
21/07/23 07:02:01,%RH,73.721
21/07/23 07:17:01,%RH,73.788
21/07/23 07:32:01,%RH,71.483
21/07/23 07:47:01,%RH,69.876
21/07/23 08:02:01,%RH,69.291
21/07/23 08:17:01,%RH,71.483
21/07/23 08:32:01,%RH,69.876
21/07/23 08:47:01,%RH,69.363
21/07/23 09:02:01,%RH,68.189
21/07/23 09:17:01,%RH,68.705
21/07/23 09:32:01,%RH,69.876
21/07/23 09:47:01,%RH,69.291
21/07/23 10:02:01,%RH,71.041
21/07/23 10:17:01,%RH,70.46
21/07/23 10:32:01,%RH,71.551
21/07/23 10:47:01,%RH,69.363
21/07/23 11:02:01,%RH,70.389
21/07/23 11:17:01,%RH,70.971
21/07/23 11:32:01,%RH,68.85
21/07/23 11:47:01,%RH,68.777
21/07/23 12:02:01,%RH,72.2
21/07/23 12:17:01,%RH,72.777
21/07/23 12:32:01,%RH,76.068
