1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B70000007C0B1441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 22:41:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 16:41:01 BST 2023
Total Mission Samples:  6280
Total Device Samples:  32443
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 16:41:01,%RH,82.285
20/07/23 16:56:01,%RH,83.249
20/07/23 17:11:01,%RH,81.767
20/07/23 17:26:01,%RH,83.249
20/07/23 17:41:01,%RH,84.207
20/07/23 17:56:01,%RH,83.696
20/07/23 18:11:01,%RH,84.717
20/07/23 18:26:01,%RH,82.218
20/07/23 18:41:01,%RH,81.699
20/07/23 18:56:01,%RH,80.724
20/07/23 19:11:01,%RH,76.62
20/07/23 19:26:01,%RH,85.161
20/07/23 19:41:01,%RH,87.171
20/07/23 19:56:01,%RH,89.091
20/07/23 20:11:01,%RH,90.07
20/07/23 20:26:01,%RH,90.983
20/07/23 20:41:01,%RH,90.556
20/07/23 20:56:01,%RH,89.091
20/07/23 21:11:01,%RH,90.556
20/07/23 21:26:01,%RH,90.07
20/07/23 21:41:01,%RH,92.426
20/07/23 21:56:01,%RH,94.794
20/07/23 22:11:01,%RH,92.904
20/07/23 22:26:01,%RH,91.466
20/07/23 22:41:01,%RH,88.598
20/07/23 22:56:01,%RH,82.669
20/07/23 23:11:01,%RH,83.184
20/07/23 23:26:01,%RH,82.669
20/07/23 23:41:01,%RH,83.184
20/07/23 23:56:01,%RH,83.12
21/07/23 00:11:01,%RH,83.633
21/07/23 00:26:01,%RH,83.633
21/07/23 00:41:01,%RH,81.113
21/07/23 00:56:01,%RH,81.113
21/07/23 01:11:01,%RH,84.083
21/07/23 01:26:01,%RH,85.1
21/07/23 01:41:01,%RH,82.734
21/07/23 01:56:01,%RH,79.079
21/07/23 02:11:01,%RH,80.2
21/07/23 02:26:01,%RH,76.411
21/07/23 02:41:01,%RH,79.541
21/07/23 02:56:01,%RH,80.067
21/07/23 03:11:01,%RH,81.508
21/07/23 03:26:01,%RH,82.999
21/07/23 03:41:01,%RH,82.999
21/07/23 03:56:01,%RH,82.544
21/07/23 04:11:01,%RH,81.508
21/07/23 04:26:01,%RH,74.855
21/07/23 04:41:01,%RH,75.871
21/07/23 04:56:01,%RH,72.665
21/07/23 05:11:01,%RH,76.344
21/07/23 05:26:01,%RH,76.882
21/07/23 05:41:01,%RH,77.887
21/07/23 05:56:01,%RH,77.417
21/07/23 06:11:01,%RH,75.805
21/07/23 06:26:01,%RH,76.344
21/07/23 06:41:01,%RH,76.344
21/07/23 06:56:01,%RH,74.855
21/07/23 07:11:01,%RH,73.764
21/07/23 07:26:01,%RH,71.072
21/07/23 07:41:01,%RH,71.558
21/07/23 07:56:01,%RH,68.828
21/07/23 08:11:01,%RH,69.392
21/07/23 08:26:01,%RH,71.628
21/07/23 08:41:01,%RH,68.9
21/07/23 08:56:01,%RH,67.271
21/07/23 09:11:01,%RH,67.767
21/07/23 09:26:01,%RH,70.514
21/07/23 09:41:01,%RH,70.026
21/07/23 09:56:01,%RH,70.514
21/07/23 10:11:01,%RH,70.026
21/07/23 10:26:01,%RH,72.112
21/07/23 10:41:01,%RH,70.026
21/07/23 10:56:01,%RH,71.072
21/07/23 11:11:01,%RH,72.182
21/07/23 11:26:01,%RH,70.026
21/07/23 11:41:01,%RH,66.7
21/07/23 11:56:01,%RH,71.7
21/07/23 12:11:01,%RH,72.735
21/07/23 12:26:01,%RH,75.398
21/07/23 12:41:01,%RH,77.483
21/07/23 12:56:01,%RH,76.479
21/07/23 13:11:01,%RH,74.925
21/07/23 13:26:01,%RH,71.773
21/07/23 13:41:01,%RH,73.834
21/07/23 13:56:01,%RH,76.479
21/07/23 14:11:01,%RH,75.939
21/07/23 14:26:01,%RH,75.939
21/07/23 14:41:01,%RH,77.483
21/07/23 14:56:01,%RH,78.017
21/07/23 15:11:01,%RH,76.479
21/07/23 15:26:01,%RH,78.549
21/07/23 15:41:01,%RH,79.541
21/07/23 15:56:01,%RH,80.591
21/07/23 16:11:01,%RH,82.605
21/07/23 16:26:01,%RH,83.633
21/07/23 16:41:01,%RH,85.1
21/07/23 16:56:01,%RH,85.666
21/07/23 17:11:01,%RH,89.523
21/07/23 17:26:01,%RH,92.426
21/07/23 17:41:01,%RH,93.379
21/07/23 17:56:01,%RH,94.324
21/07/23 18:11:01,%RH,93.798
21/07/23 18:26:01,%RH,93.379
21/07/23 18:41:01,%RH,94.27
21/07/23 18:56:01,%RH,97.06
21/07/23 19:11:01,%RH,97.06
21/07/23 19:26:01,%RH,98.43
21/07/23 19:41:01,%RH,97.518
21/07/23 19:56:01,%RH,97.975
21/07/23 20:11:01,%RH,96.137
21/07/23 20:26:01,%RH,96.137
21/07/23 20:41:01,%RH,95.622
21/07/23 20:56:01,%RH,94.217
21/07/23 21:11:01,%RH,95.622
21/07/23 21:26:01,%RH,93.222
21/07/23 21:41:01,%RH,92.796
21/07/23 21:56:01,%RH,91.358
21/07/23 22:11:01,%RH,90.875
21/07/23 22:26:01,%RH,89.903
21/07/23 22:41:01,%RH,88.923
21/07/23 22:56:01,%RH,87.936
21/07/23 23:11:01,%RH,87.439
21/07/23 23:26:01,%RH,88.43
21/07/23 23:41:01,%RH,86.941
21/07/23 23:56:01,%RH,88.43
22/07/23 00:11:01,%RH,87.936
22/07/23 00:26:01,%RH,87.936
22/07/23 00:41:01,%RH,88.923
22/07/23 00:56:01,%RH,88.923
22/07/23 01:11:01,%RH,87.439
22/07/23 01:26:01,%RH,86.441
22/07/23 01:41:01,%RH,86.941
22/07/23 01:56:01,%RH,86.441
22/07/23 02:11:01,%RH,86.441
22/07/23 02:26:01,%RH,86.441
22/07/23 02:41:01,%RH,83.911
22/07/23 02:56:01,%RH,83.911
22/07/23 03:11:01,%RH,85.435
22/07/23 03:26:01,%RH,84.929
22/07/23 03:41:01,%RH,84.421
22/07/23 03:56:01,%RH,83.455
22/07/23 04:11:01,%RH,80.347
22/07/23 04:26:01,%RH,85.993
22/07/23 04:41:01,%RH,76.694
22/07/23 04:56:01,%RH,77.824
22/07/23 05:11:01,%RH,81.967
22/07/23 05:26:01,%RH,82.999
22/07/23 05:41:01,%RH,76.755
22/07/23 05:56:01,%RH,76.694
22/07/23 06:11:01,%RH,75.677
22/07/23 06:26:01,%RH,70.514
22/07/23 06:41:01,%RH,64.975
22/07/23 06:56:01,%RH,68.263
22/07/23 07:11:01,%RH,68.335
22/07/23 07:26:01,%RH,65.05
22/07/23 07:41:01,%RH,63.384
22/07/23 07:56:01,%RH,57.53
