1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: EA0000007A4DB841
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 06:01:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 16:46:01 BST 2023
Total Mission Samples:  6347
Total Device Samples:  24704
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 16:46:01,%RH,84.783
20/07/23 17:01:01,%RH,83.681
20/07/23 17:16:01,%RH,83.681
20/07/23 17:31:01,%RH,81.524
20/07/23 17:46:01,%RH,82.081
20/07/23 18:01:01,%RH,84.169
20/07/23 18:16:01,%RH,83.681
20/07/23 18:31:01,%RH,84.783
20/07/23 18:46:01,%RH,83.192
20/07/23 19:01:01,%RH,80.54
20/07/23 19:16:01,%RH,80.964
20/07/23 19:31:01,%RH,86.362
20/07/23 19:46:01,%RH,89.01
20/07/23 20:01:01,%RH,89.547
20/07/23 20:16:01,%RH,91.092
20/07/23 20:31:01,%RH,91.623
20/07/23 20:46:01,%RH,91.092
20/07/23 21:01:01,%RH,89.489
20/07/23 21:16:01,%RH,91.092
20/07/23 21:31:01,%RH,92.627
20/07/23 21:46:01,%RH,93.679
20/07/23 22:01:01,%RH,92.153
20/07/23 22:16:01,%RH,94.203
20/07/23 22:31:01,%RH,90.025
20/07/23 22:46:01,%RH,84.232
20/07/23 23:01:01,%RH,83.127
20/07/23 23:16:01,%RH,82.572
20/07/23 23:31:01,%RH,82.572
20/07/23 23:46:01,%RH,83.064
21/07/23 00:01:01,%RH,83.556
21/07/23 00:16:01,%RH,84.108
21/07/23 00:31:01,%RH,84.108
21/07/23 00:46:01,%RH,81.395
21/07/23 01:01:01,%RH,83.064
21/07/23 01:16:01,%RH,84.108
21/07/23 01:31:01,%RH,85.149
21/07/23 01:46:01,%RH,83.064
21/07/23 02:01:01,%RH,81.395
21/07/23 02:16:01,%RH,80.835
21/07/23 02:31:01,%RH,80.835
21/07/23 02:46:01,%RH,83.003
21/07/23 03:01:01,%RH,81.832
21/07/23 03:16:01,%RH,81.832
21/07/23 03:31:01,%RH,83.497
21/07/23 03:46:01,%RH,83.497
21/07/23 04:01:01,%RH,79.712
21/07/23 04:16:01,%RH,81.891
21/07/23 04:31:01,%RH,74.137
21/07/23 04:46:01,%RH,75.29
21/07/23 05:01:01,%RH,75.734
21/07/23 05:16:01,%RH,76.306
21/07/23 05:31:01,%RH,78.016
21/07/23 05:46:01,%RH,77.448
21/07/23 06:01:01,%RH,77.512
21/07/23 06:16:01,%RH,74.648
21/07/23 06:31:01,%RH,75.159
21/07/23 06:46:01,%RH,76.371
21/07/23 07:01:01,%RH,74.071
21/07/23 07:16:01,%RH,74.071
21/07/23 07:31:01,%RH,70.712
21/07/23 07:46:01,%RH,70.195
21/07/23 08:01:01,%RH,69.535
21/07/23 08:16:01,%RH,71.814
21/07/23 08:31:01,%RH,70.124
21/07/23 08:46:01,%RH,69.015
21/07/23 09:01:01,%RH,66.71
21/07/23 09:16:01,%RH,69.015
21/07/23 09:31:01,%RH,70.195
21/07/23 09:46:01,%RH,69.015
21/07/23 10:01:01,%RH,70.712
21/07/23 10:16:01,%RH,69.535
21/07/23 10:31:01,%RH,72.465
21/07/23 10:46:01,%RH,69.087
21/07/23 11:01:01,%RH,71.882
21/07/23 11:16:01,%RH,71.882
21/07/23 11:31:01,%RH,69.677
21/07/23 11:46:01,%RH,69.606
21/07/23 12:01:01,%RH,73.047
21/07/23 12:16:01,%RH,73.047
21/07/23 12:31:01,%RH,77.008
21/07/23 12:46:01,%RH,78.08
21/07/23 13:01:01,%RH,74.783
21/07/23 13:16:01,%RH,72.68
21/07/23 13:31:01,%RH,72.607
21/07/23 13:46:01,%RH,75.864
21/07/23 14:01:01,%RH,77.008
21/07/23 14:16:01,%RH,76.437
21/07/23 14:31:01,%RH,77.008
21/07/23 14:46:01,%RH,78.146
21/07/23 15:01:01,%RH,78.647
21/07/23 15:16:01,%RH,77.512
21/07/23 15:31:01,%RH,77.512
21/07/23 15:46:01,%RH,79.212
21/07/23 16:01:01,%RH,81.953
21/07/23 16:16:01,%RH,83.556
21/07/23 16:31:01,%RH,83.556
21/07/23 16:46:01,%RH,86.302
21/07/23 17:01:01,%RH,86.846
21/07/23 17:16:01,%RH,91.623
21/07/23 17:31:01,%RH,91.623
21/07/23 17:46:01,%RH,93.734
21/07/23 18:01:01,%RH,92.098
21/07/23 18:16:01,%RH,93.208
21/07/23 18:31:01,%RH,92.098
21/07/23 18:46:01,%RH,96.284
21/07/23 19:01:01,%RH,97.316
21/07/23 19:16:01,%RH,97.316
21/07/23 19:31:01,%RH,98.342
21/07/23 19:46:01,%RH,98.291
21/07/23 20:01:01,%RH,98.291
21/07/23 20:16:01,%RH,97.265
21/07/23 20:31:01,%RH,96.233
21/07/23 20:46:01,%RH,95.715
21/07/23 21:01:01,%RH,93.627
21/07/23 21:16:01,%RH,93.627
21/07/23 21:31:01,%RH,92.525
21/07/23 21:46:01,%RH,92.046
21/07/23 22:01:01,%RH,91.516
21/07/23 22:16:01,%RH,89.329
21/07/23 22:31:01,%RH,88.792
21/07/23 22:46:01,%RH,87.169
21/07/23 23:01:01,%RH,86.08
21/07/23 23:16:01,%RH,87.169
21/07/23 23:31:01,%RH,87.169
21/07/23 23:46:01,%RH,87.169
22/07/23 00:01:01,%RH,88.252
22/07/23 00:16:01,%RH,88.252
22/07/23 00:31:01,%RH,87.169
22/07/23 00:46:01,%RH,87.169
22/07/23 01:01:01,%RH,87.169
22/07/23 01:16:01,%RH,86.626
22/07/23 01:31:01,%RH,86.08
22/07/23 01:46:01,%RH,86.626
22/07/23 02:01:01,%RH,86.626
22/07/23 02:16:01,%RH,85.534
22/07/23 02:31:01,%RH,86.133
22/07/23 02:46:01,%RH,83.385
22/07/23 03:01:01,%RH,83.385
22/07/23 03:16:01,%RH,83.938
22/07/23 03:31:01,%RH,83.938
22/07/23 03:46:01,%RH,85.038
22/07/23 04:01:01,%RH,82.276
22/07/23 04:16:01,%RH,80.656
22/07/23 04:31:01,%RH,83.992
22/07/23 04:46:01,%RH,75.61
22/07/23 05:01:01,%RH,80.153
22/07/23 05:16:01,%RH,82.388
22/07/23 05:31:01,%RH,76.755
22/07/23 05:46:01,%RH,76.183
22/07/23 06:01:01,%RH,76.183
22/07/23 06:16:01,%RH,74.006
22/07/23 06:31:01,%RH,60.276
22/07/23 06:46:01,%RH,59.586
22/07/23 07:01:01,%RH,63.854
22/07/23 07:16:01,%RH,61.5
22/07/23 07:31:01,%RH,60.665
22/07/23 07:46:01,%RH,56.645
22/07/23 08:01:01,%RH,55.474
22/07/23 08:16:01,%RH,54.77
22/07/23 08:31:01,%RH,68.945
22/07/23 08:46:01,%RH,73.559
22/07/23 09:01:01,%RH,68.945
22/07/23 09:16:01,%RH,54.08
22/07/23 09:31:01,%RH,54.08
22/07/23 09:46:01,%RH,60.125
22/07/23 10:01:01,%RH,68.423
22/07/23 10:16:01,%RH,66.186
22/07/23 10:31:01,%RH,60.276
22/07/23 10:46:01,%RH,67.83
22/07/23 11:01:01,%RH,69.606
22/07/23 11:16:01,%RH,69.606
22/07/23 11:31:01,%RH,62.034
22/07/23 11:46:01,%RH,63.325
22/07/23 12:01:01,%RH,63.249
22/07/23 12:16:01,%RH,59.123
22/07/23 12:31:01,%RH,57.916
22/07/23 12:46:01,%RH,59.183
22/07/23 13:01:01,%RH,60.431
22/07/23 13:16:01,%RH,57.941
22/07/23 13:31:01,%RH,58.551
22/07/23 13:46:01,%RH,59.201
22/07/23 14:01:01,%RH,61.044
22/07/23 14:16:01,%RH,59.201
22/07/23 14:31:01,%RH,61.072
22/07/23 14:46:01,%RH,58.584
22/07/23 15:01:01,%RH,60.276
22/07/23 15:16:01,%RH,62.11
22/07/23 15:31:01,%RH,68.423
22/07/23 15:46:01,%RH,71.298
22/07/23 16:01:01,%RH,71.229
22/07/23 16:16:01,%RH,73.492
22/07/23 16:31:01,%RH,72.33
22/07/23 16:46:01,%RH,73.492
22/07/23 17:01:01,%RH,74.648
22/07/23 17:16:01,%RH,76.306
22/07/23 17:31:01,%RH,76.306
22/07/23 17:46:01,%RH,78.016
22/07/23 18:01:01,%RH,78.016
22/07/23 18:16:01,%RH,77.448
22/07/23 18:31:01,%RH,78.016
22/07/23 18:46:01,%RH,76.878
22/07/23 19:01:01,%RH,75.734
22/07/23 19:16:01,%RH,78.016
22/07/23 19:31:01,%RH,80.213
22/07/23 19:46:01,%RH,81.891
22/07/23 20:01:01,%RH,81.333
22/07/23 20:16:01,%RH,79.65
22/07/23 20:31:01,%RH,85.149
22/07/23 20:46:01,%RH,92.098
22/07/23 21:01:01,%RH,97.265
22/07/23 21:16:01,%RH,97.265
22/07/23 21:31:01,%RH,98.802
22/07/23 21:46:01,%RH,99.311
22/07/23 22:01:01,%RH,99.819
22/07/23 22:16:01,%RH,99.819
22/07/23 22:31:01,%RH,99.311
22/07/23 22:46:01,%RH,100
22/07/23 23:01:01,%RH,100
22/07/23 23:16:01,%RH,100
22/07/23 23:31:01,%RH,100
22/07/23 23:46:01,%RH,100
23/07/23 00:01:01,%RH,100
23/07/23 00:16:01,%RH,99.263
23/07/23 00:31:01,%RH,99.771
23/07/23 00:46:01,%RH,99.263
23/07/23 01:01:01,%RH,98.243
23/07/23 01:16:01,%RH,98.754
23/07/23 01:31:01,%RH,98.754
23/07/23 01:46:01,%RH,100
23/07/23 02:01:01,%RH,100
23/07/23 02:16:01,%RH,100
23/07/23 02:31:01,%RH,100
23/07/23 02:46:01,%RH,100
23/07/23 03:01:01,%RH,100
23/07/23 03:16:01,%RH,100
23/07/23 03:31:01,%RH,99.771
23/07/23 03:46:01,%RH,98.754
23/07/23 04:01:01,%RH,99.819
23/07/23 04:16:01,%RH,99.311
23/07/23 04:31:01,%RH,99.311
23/07/23 04:46:01,%RH,97.779
23/07/23 05:01:01,%RH,95.715
23/07/23 05:16:01,%RH,93.102
23/07/23 05:31:01,%RH,94.203
23/07/23 05:46:01,%RH,90.984
23/07/23 06:01:01,%RH,90.984
23/07/23 06:16:01,%RH,89.917
23/07/23 06:31:01,%RH,88.896
23/07/23 06:46:01,%RH,91.149
23/07/23 07:01:01,%RH,87.45
23/07/23 07:16:01,%RH,85.816
23/07/23 07:31:01,%RH,82.016
23/07/23 07:46:01,%RH,80.899
23/07/23 08:01:01,%RH,78.78
23/07/23 08:16:01,%RH,74.275
23/07/23 08:31:01,%RH,72.097
23/07/23 08:46:01,%RH,65.815
23/07/23 09:01:01,%RH,73.117
23/07/23 09:16:01,%RH,64.612
23/07/23 09:31:01,%RH,67.455
23/07/23 09:46:01,%RH,65.137
23/07/23 10:01:01,%RH,64.008
23/07/23 10:16:01,%RH,66.337
23/07/23 10:31:01,%RH,64.612
23/07/23 10:46:01,%RH,63.402
23/07/23 11:01:01,%RH,59.862
23/07/23 11:16:01,%RH,61.072
23/07/23 11:31:01,%RH,63.481
23/07/23 11:46:01,%RH,63.325
23/07/23 12:01:01,%RH,70.266
23/07/23 12:16:01,%RH,75.428
23/07/23 12:31:01,%RH,77.076
23/07/23 12:46:01,%RH,74.347
23/07/23 13:01:01,%RH,73.697
23/07/23 13:16:01,%RH,73.768
23/07/23 13:31:01,%RH,69.751
23/07/23 13:46:01,%RH,72.024
23/07/23 14:01:01,%RH,70.927
23/07/23 14:16:01,%RH,74.275
23/07/23 14:31:01,%RH,76.505
23/07/23 14:46:01,%RH,77.008
23/07/23 15:01:01,%RH,75.864
23/07/23 15:16:01,%RH,78.08
23/07/23 15:31:01,%RH,77.578
23/07/23 15:46:01,%RH,77.512
23/07/23 16:01:01,%RH,77.008
23/07/23 16:16:01,%RH,77.008
23/07/23 16:31:01,%RH,79.212
23/07/23 16:46:01,%RH,76.437
23/07/23 17:01:01,%RH,78.713
23/07/23 17:16:01,%RH,77.512
23/07/23 17:31:01,%RH,78.647
23/07/23 17:46:01,%RH,80.338
23/07/23 18:01:01,%RH,82.448
23/07/23 18:16:01,%RH,84.108
23/07/23 18:31:01,%RH,83.556
23/07/23 18:46:01,%RH,84.108
23/07/23 19:01:01,%RH,81.953
23/07/23 19:16:01,%RH,85.269
23/07/23 19:31:01,%RH,84.659
23/07/23 19:46:01,%RH,86.788
23/07/23 20:01:01,%RH,86.788
23/07/23 20:16:01,%RH,88.413
23/07/23 20:31:01,%RH,88.413
23/07/23 20:46:01,%RH,87.873
23/07/23 21:01:01,%RH,89.434
23/07/23 21:16:01,%RH,89.97
23/07/23 21:31:01,%RH,89.97
23/07/23 21:46:01,%RH,89.97
23/07/23 22:01:01,%RH,87.817
23/07/23 22:16:01,%RH,88.413
23/07/23 22:31:01,%RH,89.434
23/07/23 22:46:01,%RH,89.97
