1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 670000007A54AB41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 06:01:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 17:16:01 BST 2023
Total Mission Samples:  6349
Total Device Samples:  23982
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 17:16:01,%RH,52.983
20/07/23 17:31:01,%RH,53.669
20/07/23 17:46:01,%RH,53.669
20/07/23 18:01:01,%RH,57.297
20/07/23 18:16:01,%RH,56.142
20/07/23 18:31:01,%RH,56.142
20/07/23 18:46:01,%RH,56.064
20/07/23 19:01:01,%RH,54.227
20/07/23 19:16:01,%RH,52.86
20/07/23 19:31:01,%RH,62.704
20/07/23 19:46:01,%RH,66.804
20/07/23 20:01:01,%RH,68.503
20/07/23 20:16:01,%RH,69.603
20/07/23 20:31:01,%RH,72.441
20/07/23 20:46:01,%RH,71.356
20/07/23 21:01:01,%RH,71.356
20/07/23 21:16:01,%RH,71.938
20/07/23 21:31:01,%RH,73.095
20/07/23 21:46:01,%RH,73.595
20/07/23 22:01:01,%RH,74.169
20/07/23 22:16:01,%RH,75.165
20/07/23 22:31:01,%RH,75.663
20/07/23 22:46:01,%RH,75.093
20/07/23 23:01:01,%RH,75.593
20/07/23 23:16:01,%RH,76.161
20/07/23 23:31:01,%RH,77.292
20/07/23 23:46:01,%RH,77.787
21/07/23 00:01:01,%RH,78.843
21/07/23 00:16:01,%RH,78.843
21/07/23 00:31:01,%RH,78.843
21/07/23 00:46:01,%RH,77.787
21/07/23 01:01:01,%RH,77.224
21/07/23 01:16:01,%RH,79.337
21/07/23 01:31:01,%RH,81.553
21/07/23 01:46:01,%RH,78.843
21/07/23 02:01:01,%RH,78.283
21/07/23 02:16:01,%RH,77.721
21/07/23 02:31:01,%RH,77.158
21/07/23 02:46:01,%RH,77.657
21/07/23 03:01:01,%RH,77.094
21/07/23 03:16:01,%RH,78.219
21/07/23 03:31:01,%RH,79.893
21/07/23 03:46:01,%RH,79.831
21/07/23 04:01:01,%RH,76.093
21/07/23 04:16:01,%RH,78.219
21/07/23 04:31:01,%RH,69.892
21/07/23 04:46:01,%RH,70.477
21/07/23 05:01:01,%RH,68.718
21/07/23 05:16:01,%RH,70.99
21/07/23 05:31:01,%RH,72.66
21/07/23 05:46:01,%RH,72.728
21/07/23 06:01:01,%RH,71.641
21/07/23 06:16:01,%RH,70.407
21/07/23 06:31:01,%RH,70.407
21/07/23 06:46:01,%RH,71.06
21/07/23 07:01:01,%RH,68.718
21/07/23 07:16:01,%RH,67.017
21/07/23 07:31:01,%RH,62.439
21/07/23 07:46:01,%RH,64.853
21/07/23 08:01:01,%RH,60.611
21/07/23 08:16:01,%RH,62.969
21/07/23 08:31:01,%RH,61.299
21/07/23 08:46:01,%RH,60.075
21/07/23 09:01:01,%RH,59.539
21/07/23 09:16:01,%RH,59.461
21/07/23 09:31:01,%RH,61.909
21/07/23 09:46:01,%RH,60.075
21/07/23 10:01:01,%RH,61.831
21/07/23 10:16:01,%RH,60.075
21/07/23 10:31:01,%RH,63.045
21/07/23 10:46:01,%RH,60.157
21/07/23 11:01:01,%RH,62.439
21/07/23 11:16:01,%RH,62.439
21/07/23 11:31:01,%RH,58.919
21/07/23 11:46:01,%RH,58.287
21/07/23 12:01:01,%RH,60.688
21/07/23 12:16:01,%RH,63.123
21/07/23 12:31:01,%RH,67.683
21/07/23 12:46:01,%RH,68.274
21/07/23 13:01:01,%RH,65.531
21/07/23 13:16:01,%RH,62.082
21/07/23 13:31:01,%RH,57.706
21/07/23 13:46:01,%RH,63.65
21/07/23 14:01:01,%RH,67.683
21/07/23 14:16:01,%RH,67.241
21/07/23 14:31:01,%RH,67.165
21/07/23 14:46:01,%RH,68.864
21/07/23 15:01:01,%RH,69.451
21/07/23 15:16:01,%RH,69.451
21/07/23 15:31:01,%RH,68.864
21/07/23 15:46:01,%RH,72.292
21/07/23 16:01:01,%RH,74.452
21/07/23 16:16:01,%RH,76.161
21/07/23 16:31:01,%RH,76.727
21/07/23 16:46:01,%RH,78.976
21/07/23 17:01:01,%RH,78.416
21/07/23 17:16:01,%RH,82.715
21/07/23 17:31:01,%RH,83.806
21/07/23 17:46:01,%RH,84.891
21/07/23 18:01:01,%RH,85.906
21/07/23 18:16:01,%RH,86.978
21/07/23 18:31:01,%RH,85.368
21/07/23 18:46:01,%RH,88.043
21/07/23 19:01:01,%RH,89.041
21/07/23 19:16:01,%RH,89.041
21/07/23 19:31:01,%RH,91.139
21/07/23 19:46:01,%RH,91.139
21/07/23 20:01:01,%RH,91.659
21/07/23 20:16:01,%RH,90.093
21/07/23 20:31:01,%RH,90.036
21/07/23 20:46:01,%RH,88.983
21/07/23 21:01:01,%RH,88.455
21/07/23 21:16:01,%RH,88.928
21/07/23 21:31:01,%RH,89.98
21/07/23 21:46:01,%RH,89.455
21/07/23 22:01:01,%RH,88.928
21/07/23 22:16:01,%RH,87.868
21/07/23 22:31:01,%RH,87.336
21/07/23 22:46:01,%RH,86.213
21/07/23 23:01:01,%RH,85.676
21/07/23 23:16:01,%RH,85.676
21/07/23 23:31:01,%RH,85.676
21/07/23 23:46:01,%RH,85.676
22/07/23 00:01:01,%RH,86.213
22/07/23 00:16:01,%RH,86.213
22/07/23 00:31:01,%RH,86.213
22/07/23 00:46:01,%RH,86.213
22/07/23 01:01:01,%RH,85.676
22/07/23 01:16:01,%RH,85.676
22/07/23 01:31:01,%RH,85.137
22/07/23 01:46:01,%RH,85.137
22/07/23 02:01:01,%RH,84.596
22/07/23 02:16:01,%RH,84.109
22/07/23 02:31:01,%RH,84.109
22/07/23 02:46:01,%RH,83.565
22/07/23 03:01:01,%RH,81.924
22/07/23 03:16:01,%RH,82.473
22/07/23 03:31:01,%RH,81.924
22/07/23 03:46:01,%RH,82.531
22/07/23 04:01:01,%RH,82.531
22/07/23 04:16:01,%RH,80.386
22/07/23 04:31:01,%RH,81.065
22/07/23 04:46:01,%RH,78.283
22/07/23 05:01:01,%RH,77.657
22/07/23 05:16:01,%RH,78.416
22/07/23 05:31:01,%RH,76.66
22/07/23 05:46:01,%RH,76.027
22/07/23 06:01:01,%RH,77.094
22/07/23 06:16:01,%RH,73.811
22/07/23 06:31:01,%RH,62.059
22/07/23 06:46:01,%RH,55.125
22/07/23 07:01:01,%RH,58.923
22/07/23 07:16:01,%RH,57.016
22/07/23 07:31:01,%RH,55.738
22/07/23 07:46:01,%RH,56.378
22/07/23 08:01:01,%RH,56.363
22/07/23 08:16:01,%RH,56.405
22/07/23 08:31:01,%RH,58.845
22/07/23 08:46:01,%RH,63.499
22/07/23 09:01:01,%RH,61.831
22/07/23 09:16:01,%RH,51.378
22/07/23 09:31:01,%RH,51.451
22/07/23 09:46:01,%RH,53.192
22/07/23 10:01:01,%RH,57.064
22/07/23 10:16:01,%RH,56.378
22/07/23 10:31:01,%RH,50.692
22/07/23 10:46:01,%RH,55.097
22/07/23 11:01:01,%RH,58.945
22/07/23 11:16:01,%RH,58.895
22/07/23 11:31:01,%RH,51.343
22/07/23 11:46:01,%RH,50.727
22/07/23 12:01:01,%RH,51.993
22/07/23 12:16:01,%RH,44.914
22/07/23 12:31:01,%RH,41.069
22/07/23 12:46:01,%RH,40.347
22/07/23 13:01:01,%RH,42.281
22/07/23 13:16:01,%RH,39.763
22/07/23 13:31:01,%RH,40.393
22/07/23 13:46:01,%RH,40.393
22/07/23 14:01:01,%RH,41.069
22/07/23 14:16:01,%RH,40.393
22/07/23 14:31:01,%RH,45.579
22/07/23 14:46:01,%RH,41.069
22/07/23 15:01:01,%RH,42.325
22/07/23 15:16:01,%RH,38.357
22/07/23 15:31:01,%RH,50.591
22/07/23 15:46:01,%RH,58.845
22/07/23 16:01:01,%RH,60.535
22/07/23 16:16:01,%RH,62.894
22/07/23 16:31:01,%RH,63.499
22/07/23 16:46:01,%RH,64.101
22/07/23 17:01:01,%RH,65.302
22/07/23 17:16:01,%RH,66.422
22/07/23 17:31:01,%RH,68.79
