1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A70000007A554441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 22:41:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 17:11:01 BST 2023
Total Mission Samples:  6282
Total Device Samples:  22991
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 17:11:01,%RH,58.247
20/07/23 17:26:01,%RH,58.872
20/07/23 17:41:01,%RH,60.091
20/07/23 17:56:01,%RH,61.924
20/07/23 18:11:01,%RH,64.379
20/07/23 18:26:01,%RH,58.276
20/07/23 18:41:01,%RH,59.524
20/07/23 18:56:01,%RH,55.193
20/07/23 19:11:01,%RH,43.215
20/07/23 19:26:01,%RH,66.513
20/07/23 19:41:01,%RH,73.169
20/07/23 19:56:01,%RH,77.607
20/07/23 20:11:01,%RH,78.163
20/07/23 20:26:01,%RH,79.201
20/07/23 20:41:01,%RH,78.718
20/07/23 20:56:01,%RH,78.718
20/07/23 21:11:01,%RH,78.718
20/07/23 21:26:01,%RH,76
20/07/23 21:41:01,%RH,79.822
20/07/23 21:56:01,%RH,80.92
20/07/23 22:11:01,%RH,81.33
20/07/23 22:26:01,%RH,82.353
20/07/23 22:41:01,%RH,80.235
20/07/23 22:56:01,%RH,78.581
20/07/23 23:11:01,%RH,79.134
20/07/23 23:26:01,%RH,79.685
20/07/23 23:41:01,%RH,79.685
20/07/23 23:56:01,%RH,80.654
21/07/23 00:11:01,%RH,81.201
21/07/23 00:26:01,%RH,80.169
21/07/23 00:41:01,%RH,77.469
21/07/23 00:56:01,%RH,77.469
21/07/23 01:11:01,%RH,80.106
21/07/23 01:26:01,%RH,81.684
21/07/23 01:41:01,%RH,77.469
21/07/23 01:56:01,%RH,76.352
21/07/23 02:11:01,%RH,74.663
21/07/23 02:26:01,%RH,75.227
21/07/23 02:41:01,%RH,75.161
21/07/23 02:56:01,%RH,76.352
21/07/23 03:11:01,%RH,77.896
21/07/23 03:26:01,%RH,80.592
21/07/23 03:41:01,%RH,79.494
21/07/23 03:56:01,%RH,78.515
21/07/23 04:11:01,%RH,77.896
21/07/23 04:26:01,%RH,68.046
21/07/23 04:41:01,%RH,69.067
21/07/23 04:56:01,%RH,65.768
21/07/23 05:11:01,%RH,73.028
21/07/23 05:26:01,%RH,73.529
21/07/23 05:41:01,%RH,72.959
21/07/23 05:56:01,%RH,72.388
21/07/23 06:11:01,%RH,71.884
21/07/23 06:26:01,%RH,72.959
21/07/23 06:41:01,%RH,71.816
21/07/23 06:56:01,%RH,69.067
21/07/23 07:11:01,%RH,68.556
21/07/23 07:26:01,%RH,65.176
21/07/23 07:41:01,%RH,67.46
21/07/23 07:56:01,%RH,63.39
21/07/23 08:11:01,%RH,62.792
21/07/23 08:26:01,%RH,66.284
21/07/23 08:41:01,%RH,62.868
21/07/23 08:56:01,%RH,62.267
21/07/23 09:11:01,%RH,62.868
21/07/23 09:26:01,%RH,65.101
21/07/23 09:41:01,%RH,63.987
21/07/23 09:56:01,%RH,65.101
21/07/23 10:11:01,%RH,63.987
21/07/23 10:26:01,%RH,67.972
21/07/23 10:41:01,%RH,63.466
21/07/23 10:56:01,%RH,65.101
21/07/23 11:11:01,%RH,67.46
21/07/23 11:26:01,%RH,63.466
21/07/23 11:41:01,%RH,61.743
21/07/23 11:56:01,%RH,65.768
21/07/23 12:11:01,%RH,66.948
21/07/23 12:26:01,%RH,69.719
21/07/23 12:41:01,%RH,72.527
21/07/23 12:56:01,%RH,72.026
21/07/23 13:11:01,%RH,68.63
21/07/23 13:26:01,%RH,63.623
21/07/23 13:41:01,%RH,68.046
21/07/23 13:56:01,%RH,72.527
21/07/23 14:11:01,%RH,70.298
21/07/23 14:26:01,%RH,70.298
21/07/23 14:41:01,%RH,71.954
21/07/23 14:56:01,%RH,73.667
21/07/23 15:11:01,%RH,71.954
21/07/23 15:26:01,%RH,73.667
21/07/23 15:41:01,%RH,76.979
21/07/23 15:56:01,%RH,76.352
21/07/23 16:11:01,%RH,79.068
21/07/23 16:26:01,%RH,79.619
21/07/23 16:41:01,%RH,81.264
21/07/23 16:56:01,%RH,81.81
21/07/23 17:11:01,%RH,88.161
21/07/23 17:26:01,%RH,86.579
21/07/23 17:41:01,%RH,90.187
21/07/23 17:56:01,%RH,90.187
21/07/23 18:11:01,%RH,90.647
21/07/23 18:26:01,%RH,88.625
21/07/23 18:41:01,%RH,91.678
21/07/23 18:56:01,%RH,94.226
21/07/23 19:11:01,%RH,92.702
21/07/23 19:26:01,%RH,95.233
21/07/23 19:41:01,%RH,94.226
21/07/23 19:56:01,%RH,94.226
21/07/23 20:11:01,%RH,92.702
21/07/23 20:26:01,%RH,92.702
21/07/23 20:41:01,%RH,92.136
21/07/23 20:56:01,%RH,91.108
21/07/23 21:11:01,%RH,91.108
21/07/23 21:26:01,%RH,91.57
21/07/23 21:41:01,%RH,91.623
21/07/23 21:56:01,%RH,91.055
21/07/23 22:11:01,%RH,89.501
21/07/23 22:26:01,%RH,87.406
21/07/23 22:41:01,%RH,86.879
21/07/23 22:56:01,%RH,86.349
21/07/23 23:11:01,%RH,86.349
21/07/23 23:26:01,%RH,86.879
21/07/23 23:41:01,%RH,86.349
21/07/23 23:56:01,%RH,86.879
22/07/23 00:11:01,%RH,86.349
22/07/23 00:26:01,%RH,87.406
22/07/23 00:41:01,%RH,86.879
22/07/23 00:56:01,%RH,86.349
22/07/23 01:11:01,%RH,86.349
22/07/23 01:26:01,%RH,86.349
22/07/23 01:41:01,%RH,85.286
22/07/23 01:56:01,%RH,85.818
