1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 340000007A5B7041
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 06:01:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 17:01:01 BST 2023
Total Mission Samples:  6348
Total Device Samples:  23324
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 17:01:01,%RH,60.802
20/07/23 17:16:01,%RH,62.019
20/07/23 17:31:01,%RH,61.447
20/07/23 17:46:01,%RH,62.637
20/07/23 18:01:01,%RH,64.353
20/07/23 18:16:01,%RH,63.276
20/07/23 18:31:01,%RH,61.399
20/07/23 18:46:01,%RH,63.87
20/07/23 19:01:01,%RH,61.53
20/07/23 19:16:01,%RH,58.302
20/07/23 19:31:01,%RH,71.698
20/07/23 19:46:01,%RH,80.487
20/07/23 20:01:01,%RH,78.883
20/07/23 20:16:01,%RH,79.374
20/07/23 20:31:01,%RH,81.041
20/07/23 20:46:01,%RH,79.441
20/07/23 21:01:01,%RH,81.041
20/07/23 21:16:01,%RH,79.999
20/07/23 21:31:01,%RH,81.594
20/07/23 21:46:01,%RH,83.724
20/07/23 22:01:01,%RH,81.594
20/07/23 22:16:01,%RH,84.75
20/07/23 22:31:01,%RH,83.114
20/07/23 22:46:01,%RH,80.421
20/07/23 23:01:01,%RH,79.865
20/07/23 23:16:01,%RH,80.421
20/07/23 23:31:01,%RH,80.421
20/07/23 23:46:01,%RH,79.801
21/07/23 00:01:01,%RH,81.402
21/07/23 00:16:01,%RH,82.015
21/07/23 00:31:01,%RH,80.911
21/07/23 00:46:01,%RH,79.801
21/07/23 01:01:01,%RH,80.911
21/07/23 01:16:01,%RH,81.954
21/07/23 01:31:01,%RH,83.54
21/07/23 01:46:01,%RH,78.188
21/07/23 02:01:01,%RH,76.498
21/07/23 02:16:01,%RH,75.932
21/07/23 02:31:01,%RH,75.364
21/07/23 02:46:01,%RH,79.181
21/07/23 03:01:01,%RH,78.622
21/07/23 03:16:01,%RH,79.738
21/07/23 03:31:01,%RH,81.342
21/07/23 03:46:01,%RH,80.789
21/07/23 04:01:01,%RH,74.224
21/07/23 04:16:01,%RH,79.243
21/07/23 04:31:01,%RH,68.124
21/07/23 04:46:01,%RH,70.973
21/07/23 05:01:01,%RH,70.253
21/07/23 05:16:01,%RH,73.651
21/07/23 05:31:01,%RH,75.299
21/07/23 05:46:01,%RH,73.651
21/07/23 06:01:01,%RH,74.29
21/07/23 06:16:01,%RH,72.502
21/07/23 06:31:01,%RH,71.925
21/07/23 06:46:01,%RH,73.718
21/07/23 07:01:01,%RH,70.834
21/07/23 07:16:01,%RH,70.321
21/07/23 07:31:01,%RH,66.945
21/07/23 07:46:01,%RH,67.535
21/07/23 08:01:01,%RH,65.76
21/07/23 08:16:01,%RH,67.392
21/07/23 08:31:01,%RH,65.76
21/07/23 08:46:01,%RH,64.642
21/07/23 09:01:01,%RH,63.52
21/07/23 09:16:01,%RH,64.642
21/07/23 09:31:01,%RH,66.945
21/07/23 09:46:01,%RH,65.165
21/07/23 10:01:01,%RH,67.535
21/07/23 10:16:01,%RH,65.76
21/07/23 10:31:01,%RH,68.639
21/07/23 10:46:01,%RH,65.908
21/07/23 11:01:01,%RH,68.052
21/07/23 11:16:01,%RH,67.535
21/07/23 11:31:01,%RH,65.908
21/07/23 11:46:01,%RH,65.314
21/07/23 12:01:01,%RH,68.124
21/07/23 12:16:01,%RH,69.297
21/07/23 12:31:01,%RH,72.638
21/07/23 12:46:01,%RH,74.29
21/07/23 13:01:01,%RH,71.045
21/07/23 13:16:01,%RH,67.76
21/07/23 13:31:01,%RH,64.274
21/07/23 13:46:01,%RH,70.392
21/07/23 14:01:01,%RH,73.787
21/07/23 14:16:01,%RH,72.708
21/07/23 14:31:01,%RH,72.638
21/07/23 14:46:01,%RH,74.359
21/07/23 15:01:01,%RH,74.861
21/07/23 15:16:01,%RH,74.29
21/07/23 15:31:01,%RH,74.93
21/07/23 15:46:01,%RH,77.693
21/07/23 16:01:01,%RH,78.749
21/07/23 16:16:01,%RH,80.357
21/07/23 16:31:01,%RH,81.464
21/07/23 16:46:01,%RH,82.565
21/07/23 17:01:01,%RH,83.661
21/07/23 17:16:01,%RH,89.458
21/07/23 17:31:01,%RH,88.928
21/07/23 17:46:01,%RH,91.566
21/07/23 18:01:01,%RH,93.13
21/07/23 18:16:01,%RH,91.566
21/07/23 18:31:01,%RH,90.515
21/07/23 18:46:01,%RH,94.111
21/07/23 19:01:01,%RH,95.653
21/07/23 19:16:01,%RH,94.111
21/07/23 19:31:01,%RH,97.182
21/07/23 19:46:01,%RH,96.164
