1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: B30000007864D141
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 06:01:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 17:01:01 BST 2023
Total Mission Samples:  6348
Total Device Samples:  24633
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 17:01:01,%RH,61.964
20/07/23 17:16:01,%RH,63.164
20/07/23 17:31:01,%RH,60.203
20/07/23 17:46:01,%RH,61.988
20/07/23 18:01:01,%RH,64.751
20/07/23 18:16:01,%RH,61.412
20/07/23 18:31:01,%RH,60.782
20/07/23 18:46:01,%RH,62.589
20/07/23 19:01:01,%RH,57.277
20/07/23 19:16:01,%RH,56.533
20/07/23 19:31:01,%RH,72.926
20/07/23 19:46:01,%RH,79.215
20/07/23 20:01:01,%RH,80.344
20/07/23 20:16:01,%RH,80.733
20/07/23 20:31:01,%RH,82.825
20/07/23 20:46:01,%RH,80.801
20/07/23 21:01:01,%RH,81.85
20/07/23 21:16:01,%RH,80.344
20/07/23 21:31:01,%RH,81.783
20/07/23 21:46:01,%RH,84.375
20/07/23 22:01:01,%RH,81.783
20/07/23 22:16:01,%RH,85.334
20/07/23 22:31:01,%RH,83.731
20/07/23 22:46:01,%RH,81.717
20/07/23 23:01:01,%RH,81.193
20/07/23 23:16:01,%RH,81.717
20/07/23 23:31:01,%RH,81.193
20/07/23 23:46:01,%RH,81.129
21/07/23 00:01:01,%RH,83.214
21/07/23 00:16:01,%RH,83.214
21/07/23 00:31:01,%RH,81.653
21/07/23 00:46:01,%RH,80.14
21/07/23 01:01:01,%RH,80.668
21/07/23 01:16:01,%RH,82.634
21/07/23 01:31:01,%RH,83.67
21/07/23 01:46:01,%RH,77.544
21/07/23 02:01:01,%RH,77.544
21/07/23 02:16:01,%RH,76.467
21/07/23 02:31:01,%RH,76.94
21/07/23 02:46:01,%RH,81.129
21/07/23 03:01:01,%RH,80.542
21/07/23 03:16:01,%RH,81.591
21/07/23 03:31:01,%RH,84.125
21/07/23 03:46:01,%RH,82.054
21/07/23 04:01:01,%RH,79.547
21/07/23 04:16:01,%RH,81.591
21/07/23 04:31:01,%RH,75.859
21/07/23 04:46:01,%RH,76.467
21/07/23 05:01:01,%RH,75.859
21/07/23 05:16:01,%RH,75.795
21/07/23 05:31:01,%RH,77.95
21/07/23 05:46:01,%RH,76.94
21/07/23 06:01:01,%RH,76.94
21/07/23 06:16:01,%RH,74.772
21/07/23 06:31:01,%RH,74.225
21/07/23 06:46:01,%RH,75.316
21/07/23 07:01:01,%RH,74.292
21/07/23 07:16:01,%RH,74.838
21/07/23 07:31:01,%RH,69.997
21/07/23 07:46:01,%RH,69.997
21/07/23 08:01:01,%RH,68.871
21/07/23 08:16:01,%RH,71.045
21/07/23 08:31:01,%RH,69.506
21/07/23 08:46:01,%RH,68.377
21/07/23 09:01:01,%RH,66.67
21/07/23 09:16:01,%RH,68.377
21/07/23 09:31:01,%RH,69.506
21/07/23 09:46:01,%RH,68.377
21/07/23 10:01:01,%RH,71.115
21/07/23 10:16:01,%RH,68.377
21/07/23 10:31:01,%RH,71.115
21/07/23 10:46:01,%RH,68.451
21/07/23 11:01:01,%RH,70.557
21/07/23 11:16:01,%RH,70.557
21/07/23 11:31:01,%RH,67.389
21/07/23 11:46:01,%RH,68.451
21/07/23 12:01:01,%RH,70.629
21/07/23 12:16:01,%RH,71.744
21/07/23 12:31:01,%RH,75.451
21/07/23 12:46:01,%RH,76.467
21/07/23 13:01:01,%RH,73.882
21/07/23 13:16:01,%RH,70.217
21/07/23 13:31:01,%RH,68.035
21/07/23 13:46:01,%RH,73.332
21/07/23 14:01:01,%RH,75.994
21/07/23 14:16:01,%RH,74.977
21/07/23 14:31:01,%RH,74.907
21/07/23 14:46:01,%RH,76.535
21/07/23 15:01:01,%RH,78.08
21/07/23 15:16:01,%RH,75.926
21/07/23 15:31:01,%RH,75.994
21/07/23 15:46:01,%RH,78.08
21/07/23 16:01:01,%RH,80.668
21/07/23 16:16:01,%RH,81.653
21/07/23 16:31:01,%RH,82.175
21/07/23 16:46:01,%RH,84.759
21/07/23 17:01:01,%RH,85.781
21/07/23 17:16:01,%RH,90.665
21/07/23 17:31:01,%RH,90.665
21/07/23 17:46:01,%RH,92.132
21/07/23 18:01:01,%RH,93.101
21/07/23 18:16:01,%RH,92.617
21/07/23 18:31:01,%RH,92.617
21/07/23 18:46:01,%RH,94.964
21/07/23 19:01:01,%RH,95.439
21/07/23 19:16:01,%RH,95.913
21/07/23 19:31:01,%RH,97.322
21/07/23 19:46:01,%RH,96.854
21/07/23 20:01:01,%RH,96.384
21/07/23 20:16:01,%RH,94.487
21/07/23 20:31:01,%RH,94.487
21/07/23 20:46:01,%RH,93.046
21/07/23 21:01:01,%RH,92.024
21/07/23 21:16:01,%RH,92.024
21/07/23 21:31:01,%RH,92.994
21/07/23 21:46:01,%RH,90.556
21/07/23 22:01:01,%RH,90.556
21/07/23 22:16:01,%RH,89.569
21/07/23 22:31:01,%RH,88.574
21/07/23 22:46:01,%RH,87.07
21/07/23 23:01:01,%RH,87.07
21/07/23 23:16:01,%RH,87.573
21/07/23 23:31:01,%RH,87.573
21/07/23 23:46:01,%RH,87.573
22/07/23 00:01:01,%RH,87.573
22/07/23 00:16:01,%RH,87.017
22/07/23 00:31:01,%RH,87.521
22/07/23 00:46:01,%RH,88.074
22/07/23 01:01:01,%RH,88.074
22/07/23 01:16:01,%RH,87.07
22/07/23 01:31:01,%RH,87.573
22/07/23 01:46:01,%RH,87.07
22/07/23 02:01:01,%RH,86.564
22/07/23 02:16:01,%RH,85.549
22/07/23 02:31:01,%RH,86.058
22/07/23 02:46:01,%RH,84.527
22/07/23 03:01:01,%RH,82.98
22/07/23 03:16:01,%RH,84.527
22/07/23 03:31:01,%RH,84.013
22/07/23 03:46:01,%RH,85.094
22/07/23 04:01:01,%RH,82.517
22/07/23 04:16:01,%RH,80.482
22/07/23 04:31:01,%RH,82.054
22/07/23 04:46:01,%RH,75.732
22/07/23 05:01:01,%RH,79.485
22/07/23 05:16:01,%RH,80.076
22/07/23 05:31:01,%RH,76.336
22/07/23 05:46:01,%RH,76.273
22/07/23 06:01:01,%RH,76.212
22/07/23 06:16:01,%RH,75.732
22/07/23 06:31:01,%RH,68.871
22/07/23 06:46:01,%RH,66.097
22/07/23 07:01:01,%RH,69.997
22/07/23 07:16:01,%RH,68.377
22/07/23 07:31:01,%RH,64.947
22/07/23 07:46:01,%RH,62.265
22/07/23 08:01:01,%RH,60.5
22/07/23 08:16:01,%RH,57.6
22/07/23 08:31:01,%RH,68.871
22/07/23 08:46:01,%RH,73.744
22/07/23 09:01:01,%RH,68.871
22/07/23 09:16:01,%RH,57.656
22/07/23 09:31:01,%RH,55.829
22/07/23 09:46:01,%RH,61.602
22/07/23 10:01:01,%RH,67.81
22/07/23 10:16:01,%RH,66.246
22/07/23 10:31:01,%RH,60.064
22/07/23 10:46:01,%RH,66.097
22/07/23 11:01:01,%RH,69.655
22/07/23 11:16:01,%RH,67.883
22/07/23 11:31:01,%RH,60.656
22/07/23 11:46:01,%RH,62.421
22/07/23 12:01:01,%RH,61.756
22/07/23 12:16:01,%RH,57.12
22/07/23 12:31:01,%RH,55.886
22/07/23 12:46:01,%RH,56.504
22/07/23 13:01:01,%RH,57.708
22/07/23 13:16:01,%RH,54.706
22/07/23 13:31:01,%RH,54.675
22/07/23 13:46:01,%RH,55.886
22/07/23 14:01:01,%RH,57.15
22/07/23 14:16:01,%RH,55.296
22/07/23 14:31:01,%RH,56.533
22/07/23 14:46:01,%RH,54.706
22/07/23 15:01:01,%RH,57.708
22/07/23 15:16:01,%RH,57.092
22/07/23 15:31:01,%RH,62.773
22/07/23 15:46:01,%RH,68.305
22/07/23 16:01:01,%RH,69.364
22/07/23 16:16:01,%RH,72.089
22/07/23 16:31:01,%RH,72.089
22/07/23 16:46:01,%RH,71.533
22/07/23 17:01:01,%RH,73.194
22/07/23 17:16:01,%RH,75.383
22/07/23 17:31:01,%RH,74.772
22/07/23 17:46:01,%RH,76.94
22/07/23 18:01:01,%RH,77.478
22/07/23 18:16:01,%RH,74.772
22/07/23 18:31:01,%RH,77.478
22/07/23 18:46:01,%RH,75.859
22/07/23 19:01:01,%RH,74.772
22/07/23 19:16:01,%RH,77.413
22/07/23 19:31:01,%RH,79.016
22/07/23 19:46:01,%RH,80.076
22/07/23 20:01:01,%RH,80.076
22/07/23 20:16:01,%RH,79.016
22/07/23 20:31:01,%RH,82.696
22/07/23 20:46:01,%RH,85.21
22/07/23 21:01:01,%RH,93.101
22/07/23 21:16:01,%RH,93.583
22/07/23 21:31:01,%RH,95.967
22/07/23 21:46:01,%RH,94.063
22/07/23 22:01:01,%RH,95.018
22/07/23 22:16:01,%RH,95.075
22/07/23 22:31:01,%RH,93.64
22/07/23 22:46:01,%RH,95.493
22/07/23 23:01:01,%RH,95.967
22/07/23 23:16:01,%RH,94.599
22/07/23 23:31:01,%RH,94.599
22/07/23 23:46:01,%RH,95.967
23/07/23 00:01:01,%RH,95.018
23/07/23 00:16:01,%RH,94.12
23/07/23 00:31:01,%RH,93.158
23/07/23 00:46:01,%RH,91.702
23/07/23 01:01:01,%RH,92.189
23/07/23 01:16:01,%RH,91.702
23/07/23 01:31:01,%RH,92.189
23/07/23 01:46:01,%RH,93.158
23/07/23 02:01:01,%RH,93.101
23/07/23 02:16:01,%RH,95.493
23/07/23 02:31:01,%RH,94.599
23/07/23 02:46:01,%RH,95.967
23/07/23 03:01:01,%RH,94.599
23/07/23 03:16:01,%RH,94.542
23/07/23 03:31:01,%RH,94.063
23/07/23 03:46:01,%RH,93.158
23/07/23 04:01:01,%RH,91.762
23/07/23 04:16:01,%RH,89.363
23/07/23 04:31:01,%RH,85.844
23/07/23 04:46:01,%RH,86.417
23/07/23 05:01:01,%RH,81.85
23/07/23 05:16:01,%RH,80.801
23/07/23 05:31:01,%RH,77.682
23/07/23 05:46:01,%RH,80.733
23/07/23 06:01:01,%RH,79.677
23/07/23 06:16:01,%RH,78.682
23/07/23 06:31:01,%RH,77.216
23/07/23 06:46:01,%RH,79.356
23/07/23 07:01:01,%RH,76.362
23/07/23 07:16:01,%RH,74.651
23/07/23 07:31:01,%RH,71.413
23/07/23 07:46:01,%RH,71.413
23/07/23 08:01:01,%RH,67.289
23/07/23 08:16:01,%RH,65.522
23/07/23 08:31:01,%RH,66.113
23/07/23 08:46:01,%RH,61.44
23/07/23 09:01:01,%RH,65.522
23/07/23 09:16:01,%RH,57.244
23/07/23 09:31:01,%RH,57.794
23/07/23 09:46:01,%RH,54.773
23/07/23 10:01:01,%RH,53.6
23/07/23 10:16:01,%RH,52.387
23/07/23 10:31:01,%RH,51.129
23/07/23 10:46:01,%RH,50.578
23/07/23 11:01:01,%RH,45
23/07/23 11:16:01,%RH,43.703
23/07/23 11:31:01,%RH,46.111
23/07/23 11:46:01,%RH,47.396
23/07/23 12:01:01,%RH,54.117
23/07/23 12:16:01,%RH,61.386
