1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: A90000007C0CBA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 06:01:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 17:16:01 BST 2023
Total Mission Samples:  6349
Total Device Samples:  32150
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 17:16:01,%RH,52.434
20/07/23 17:31:01,%RH,51.241
20/07/23 17:46:01,%RH,51.2
20/07/23 18:01:01,%RH,56.565
20/07/23 18:16:01,%RH,53.049
20/07/23 18:31:01,%RH,52.395
20/07/23 18:46:01,%RH,53.586
20/07/23 19:01:01,%RH,50.581
20/07/23 19:16:01,%RH,48.048
20/07/23 19:31:01,%RH,64.179
20/07/23 19:46:01,%RH,67.357
20/07/23 20:01:01,%RH,70.658
20/07/23 20:16:01,%RH,73.832
20/07/23 20:31:01,%RH,73.832
20/07/23 20:46:01,%RH,75.476
20/07/23 21:01:01,%RH,76.021
20/07/23 21:16:01,%RH,76.021
20/07/23 21:31:01,%RH,76.021
20/07/23 21:46:01,%RH,78.113
20/07/23 22:01:01,%RH,75.947
20/07/23 22:16:01,%RH,78.579
20/07/23 22:31:01,%RH,77.971
20/07/23 22:46:01,%RH,78.441
20/07/23 23:01:01,%RH,78.441
20/07/23 23:16:01,%RH,78.978
20/07/23 23:31:01,%RH,78.978
20/07/23 23:46:01,%RH,78.912
21/07/23 00:01:01,%RH,80.98
21/07/23 00:16:01,%RH,80.98
21/07/23 00:31:01,%RH,80.98
21/07/23 00:46:01,%RH,79.98
21/07/23 01:01:01,%RH,79.447
21/07/23 01:16:01,%RH,81.509
21/07/23 01:31:01,%RH,82.502
21/07/23 01:46:01,%RH,78.912
21/07/23 02:01:01,%RH,77.298
21/07/23 02:16:01,%RH,77.298
21/07/23 02:31:01,%RH,76.215
21/07/23 02:46:01,%RH,79.383
21/07/23 03:01:01,%RH,77.773
21/07/23 03:16:01,%RH,78.785
21/07/23 03:31:01,%RH,80.387
21/07/23 03:46:01,%RH,80.327
21/07/23 04:01:01,%RH,75.671
21/07/23 04:16:01,%RH,80.449
21/07/23 04:31:01,%RH,70.361
21/07/23 04:46:01,%RH,71.475
21/07/23 05:01:01,%RH,69.662
21/07/23 05:16:01,%RH,73.482
21/07/23 05:31:01,%RH,75.126
21/07/23 05:46:01,%RH,74.031
21/07/23 06:01:01,%RH,74.098
21/07/23 06:16:01,%RH,71.891
21/07/23 06:31:01,%RH,71.824
21/07/23 06:46:01,%RH,73.548
21/07/23 07:01:01,%RH,70.848
21/07/23 07:16:01,%RH,71.405
21/07/23 07:31:01,%RH,65.419
21/07/23 07:46:01,%RH,66.486
21/07/23 08:01:01,%RH,65.99
21/07/23 08:16:01,%RH,65.917
21/07/23 08:31:01,%RH,64.348
21/07/23 08:46:01,%RH,63.773
21/07/23 09:01:01,%RH,62.114
21/07/23 09:16:01,%RH,62.114
21/07/23 09:31:01,%RH,64.273
21/07/23 09:46:01,%RH,63.196
21/07/23 10:01:01,%RH,65.419
21/07/23 10:16:01,%RH,63.196
21/07/23 10:31:01,%RH,65.419
21/07/23 10:46:01,%RH,62.192
21/07/23 11:01:01,%RH,64.273
21/07/23 11:16:01,%RH,64.922
21/07/23 11:31:01,%RH,62.192
21/07/23 11:46:01,%RH,58.762
21/07/23 12:01:01,%RH,63.272
21/07/23 12:16:01,%RH,67.203
21/07/23 12:31:01,%RH,69.24
21/07/23 12:46:01,%RH,70.433
21/07/23 13:01:01,%RH,67.203
21/07/23 13:16:01,%RH,64.748
21/07/23 13:31:01,%RH,58.835
21/07/23 13:46:01,%RH,67.128
21/07/23 14:01:01,%RH,69.386
21/07/23 14:16:01,%RH,66.635
21/07/23 14:31:01,%RH,66.635
21/07/23 14:46:01,%RH,69.873
21/07/23 15:01:01,%RH,70.433
21/07/23 15:16:01,%RH,72.03
21/07/23 15:31:01,%RH,70.99
21/07/23 15:46:01,%RH,73.066
21/07/23 16:01:01,%RH,76.823
21/07/23 16:16:01,%RH,77.903
21/07/23 16:31:01,%RH,77.432
21/07/23 16:46:01,%RH,79.046
21/07/23 17:01:01,%RH,79.046
21/07/23 17:16:01,%RH,82.692
21/07/23 17:31:01,%RH,84.263
21/07/23 17:46:01,%RH,84.783
21/07/23 18:01:01,%RH,85.237
21/07/23 18:16:01,%RH,85.755
21/07/23 18:31:01,%RH,84.718
21/07/23 18:46:01,%RH,88.26
21/07/23 19:01:01,%RH,88.769
21/07/23 19:16:01,%RH,88.26
21/07/23 19:31:01,%RH,90.791
21/07/23 19:46:01,%RH,90.731
21/07/23 20:01:01,%RH,89.723
21/07/23 20:16:01,%RH,91.676
21/07/23 20:31:01,%RH,91.621
21/07/23 20:46:01,%RH,90.618
21/07/23 21:01:01,%RH,91.12
21/07/23 21:16:01,%RH,90.618
21/07/23 21:31:01,%RH,90.565
21/07/23 21:46:01,%RH,89.049
21/07/23 22:01:01,%RH,89.555
21/07/23 22:16:01,%RH,87.007
21/07/23 22:31:01,%RH,87.52
21/07/23 22:46:01,%RH,85.461
21/07/23 23:01:01,%RH,85.461
21/07/23 23:16:01,%RH,86.493
21/07/23 23:31:01,%RH,85.461
21/07/23 23:46:01,%RH,85.978
22/07/23 00:01:01,%RH,85.978
22/07/23 00:16:01,%RH,85.978
22/07/23 00:31:01,%RH,85.978
22/07/23 00:46:01,%RH,85.978
22/07/23 01:01:01,%RH,85.978
22/07/23 01:16:01,%RH,85.461
22/07/23 01:31:01,%RH,85.461
22/07/23 01:46:01,%RH,85.461
22/07/23 02:01:01,%RH,84.422
22/07/23 02:16:01,%RH,84.422
22/07/23 02:31:01,%RH,83.378
22/07/23 02:46:01,%RH,82.329
22/07/23 03:01:01,%RH,81.329
22/07/23 03:16:01,%RH,82.385
22/07/23 03:31:01,%RH,81.858
22/07/23 03:46:01,%RH,82.385
22/07/23 04:01:01,%RH,80.268
22/07/23 04:16:01,%RH,78.188
22/07/23 04:31:01,%RH,79.321
22/07/23 04:46:01,%RH,73.903
22/07/23 05:01:01,%RH,76.63
22/07/23 05:16:01,%RH,77.298
22/07/23 05:31:01,%RH,74.514
22/07/23 05:46:01,%RH,72.865
22/07/23 06:01:01,%RH,74.451
22/07/23 06:16:01,%RH,72.865
22/07/23 06:31:01,%RH,61.611
22/07/23 06:46:01,%RH,55.798
22/07/23 07:01:01,%RH,61.533
22/07/23 07:16:01,%RH,59.35
22/07/23 07:31:01,%RH,56.315
22/07/23 07:46:01,%RH,55.748
22/07/23 08:01:01,%RH,54.002
22/07/23 08:16:01,%RH,54.002
22/07/23 08:31:01,%RH,63.121
22/07/23 08:46:01,%RH,66.982
22/07/23 09:01:01,%RH,65.346
22/07/23 09:16:01,%RH,52.765
22/07/23 09:31:01,%RH,49.071
22/07/23 09:46:01,%RH,53.401
22/07/23 10:01:01,%RH,61.533
22/07/23 10:16:01,%RH,59.859
22/07/23 10:31:01,%RH,53.966
22/07/23 10:46:01,%RH,58.093
22/07/23 11:01:01,%RH,63.35
22/07/23 11:16:01,%RH,62.114
22/07/23 11:31:01,%RH,56.359
22/07/23 11:46:01,%RH,57.02
22/07/23 12:01:01,%RH,55.775
22/07/23 12:16:01,%RH,49.107
22/07/23 12:31:01,%RH,46.122
22/07/23 12:46:01,%RH,48.555
22/07/23 13:01:01,%RH,47.929
22/07/23 13:16:01,%RH,44.899
22/07/23 13:31:01,%RH,44.265
22/07/23 13:46:01,%RH,45.49
22/07/23 14:01:01,%RH,46.122
22/07/23 14:16:01,%RH,44.352
22/07/23 14:31:01,%RH,47.968
22/07/23 14:46:01,%RH,47.301
22/07/23 15:01:01,%RH,49.731
22/07/23 15:16:01,%RH,43.036
22/07/23 15:31:01,%RH,53.937
22/07/23 15:46:01,%RH,62.618
22/07/23 16:01:01,%RH,63.048
22/07/23 16:16:01,%RH,65.917
22/07/23 16:31:01,%RH,65.917
22/07/23 16:46:01,%RH,65.917
22/07/23 17:01:01,%RH,65.917
22/07/23 17:16:01,%RH,69.24
22/07/23 17:31:01,%RH,69.801
22/07/23 17:46:01,%RH,70.361
22/07/23 18:01:01,%RH,70.29
22/07/23 18:16:01,%RH,70.848
22/07/23 18:31:01,%RH,71.96
22/07/23 18:46:01,%RH,70.78
22/07/23 19:01:01,%RH,70.29
22/07/23 19:16:01,%RH,72.445
22/07/23 19:31:01,%RH,74.646
22/07/23 19:46:01,%RH,75.126
22/07/23 20:01:01,%RH,74.579
22/07/23 20:16:01,%RH,75.737
22/07/23 20:31:01,%RH,79.581
22/07/23 20:46:01,%RH,82.234
22/07/23 21:01:01,%RH,85.237
22/07/23 21:16:01,%RH,86.271
22/07/23 21:31:01,%RH,88.831
22/07/23 21:46:01,%RH,88.896
22/07/23 22:01:01,%RH,87.876
22/07/23 22:16:01,%RH,87.876
22/07/23 22:31:01,%RH,87.943
22/07/23 22:46:01,%RH,87.876
22/07/23 23:01:01,%RH,88.896
22/07/23 23:16:01,%RH,88.387
22/07/23 23:31:01,%RH,88.454
22/07/23 23:46:01,%RH,87.876
23/07/23 00:01:01,%RH,87.876
