1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 950000007864CD41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 22:41:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 17:11:01 BST 2023
Total Mission Samples:  6282
Total Device Samples:  24541
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 17:11:01,%RH,54.123
20/07/23 17:26:01,%RH,54.123
20/07/23 17:41:01,%RH,55.943
20/07/23 17:56:01,%RH,58.298
20/07/23 18:11:01,%RH,60.749
20/07/23 18:26:01,%RH,52.878
20/07/23 18:41:01,%RH,55.326
20/07/23 18:56:01,%RH,50.996
20/07/23 19:11:01,%RH,44.907
20/07/23 19:26:01,%RH,65.132
20/07/23 19:41:01,%RH,72.754
20/07/23 19:56:01,%RH,75.936
20/07/23 20:11:01,%RH,78.527
20/07/23 20:26:01,%RH,78.984
20/07/23 20:41:01,%RH,78.984
20/07/23 20:56:01,%RH,78.984
20/07/23 21:11:01,%RH,77.998
20/07/23 21:26:01,%RH,77.998
20/07/23 21:41:01,%RH,81.074
20/07/23 21:56:01,%RH,82.108
20/07/23 22:11:01,%RH,82.04
20/07/23 22:26:01,%RH,82.04
20/07/23 22:41:01,%RH,81.006
20/07/23 22:56:01,%RH,78.984
20/07/23 23:11:01,%RH,78.916
20/07/23 23:26:01,%RH,78.916
20/07/23 23:41:01,%RH,78.916
20/07/23 23:56:01,%RH,79.899
21/07/23 00:11:01,%RH,80.421
21/07/23 00:26:01,%RH,79.965
21/07/23 00:41:01,%RH,77.86
21/07/23 00:56:01,%RH,76.797
21/07/23 01:11:01,%RH,79.835
21/07/23 01:26:01,%RH,81.911
21/07/23 01:41:01,%RH,76.865
21/07/23 01:56:01,%RH,75.326
21/07/23 02:11:01,%RH,72.609
21/07/23 02:26:01,%RH,71.989
21/07/23 02:41:01,%RH,74.106
21/07/23 02:56:01,%RH,75.256
21/07/23 03:11:01,%RH,77.729
21/07/23 03:26:01,%RH,79.773
21/07/23 03:41:01,%RH,79.773
