1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: F90000007C079341
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 06:01:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 17:16:01 BST 2023
Total Mission Samples:  6349
Total Device Samples:  22356
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 17:16:01,%RH,58.895
20/07/23 17:31:01,%RH,57.71
20/07/23 17:46:01,%RH,58.895
20/07/23 18:01:01,%RH,63.025
20/07/23 18:16:01,%RH,60.102
20/07/23 18:31:01,%RH,60.077
20/07/23 18:46:01,%RH,60.678
20/07/23 19:01:01,%RH,61.877
20/07/23 19:16:01,%RH,60.631
20/07/23 19:31:01,%RH,72.158
20/07/23 19:46:01,%RH,76.931
20/07/23 20:01:01,%RH,78.541
20/07/23 20:16:01,%RH,80.069
20/07/23 20:31:01,%RH,80.531
20/07/23 20:46:01,%RH,80.597
20/07/23 21:01:01,%RH,80.069
20/07/23 21:16:01,%RH,80.069
20/07/23 21:31:01,%RH,81.058
20/07/23 21:46:01,%RH,83.67
20/07/23 22:01:01,%RH,81.124
20/07/23 22:16:01,%RH,83.67
20/07/23 22:31:01,%RH,82.044
20/07/23 22:46:01,%RH,80.003
20/07/23 23:01:01,%RH,78.407
20/07/23 23:16:01,%RH,79.472
20/07/23 23:31:01,%RH,80.003
20/07/23 23:46:01,%RH,78.876
21/07/23 00:01:01,%RH,80.995
21/07/23 00:16:01,%RH,80.467
21/07/23 00:31:01,%RH,80.995
21/07/23 00:46:01,%RH,78.407
21/07/23 01:01:01,%RH,77.872
21/07/23 01:16:01,%RH,80.933
21/07/23 01:31:01,%RH,83.026
21/07/23 01:46:01,%RH,74.287
21/07/23 02:01:01,%RH,74.833
21/07/23 02:16:01,%RH,73.739
21/07/23 02:31:01,%RH,74.217
21/07/23 02:46:01,%RH,77.808
21/07/23 03:01:01,%RH,76.732
21/07/23 03:16:01,%RH,78.28
21/07/23 03:31:01,%RH,80.345
21/07/23 03:46:01,%RH,79.816
21/07/23 04:01:01,%RH,73.601
21/07/23 04:16:01,%RH,78.876
21/07/23 04:31:01,%RH,68.246
21/07/23 04:46:01,%RH,70.419
21/07/23 05:01:01,%RH,70.838
21/07/23 05:16:01,%RH,72.433
21/07/23 05:31:01,%RH,73.534
21/07/23 05:46:01,%RH,74.082
21/07/23 06:01:01,%RH,73.051
21/07/23 06:16:01,%RH,71.393
21/07/23 06:31:01,%RH,71.881
21/07/23 06:46:01,%RH,72.5
21/07/23 07:01:01,%RH,69.79
21/07/23 07:16:01,%RH,69.23
21/07/23 07:31:01,%RH,64.905
21/07/23 07:46:01,%RH,66.546
21/07/23 08:01:01,%RH,64.905
21/07/23 08:16:01,%RH,64.831
21/07/23 08:31:01,%RH,63.828
21/07/23 08:46:01,%RH,62.671
21/07/23 09:01:01,%RH,60.412
21/07/23 09:16:01,%RH,62.166
21/07/23 09:31:01,%RH,63.175
21/07/23 09:46:01,%RH,62.671
21/07/23 10:01:01,%RH,64.33
21/07/23 10:16:01,%RH,63.175
21/07/23 10:31:01,%RH,66.049
21/07/23 10:46:01,%RH,61.66
21/07/23 11:01:01,%RH,65.404
21/07/23 11:16:01,%RH,66.049
21/07/23 11:31:01,%RH,61.66
