1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: AE0000007A549441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 06:01:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 17:16:01 BST 2023
Total Mission Samples:  6349
Total Device Samples:  23313
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 17:16:01,%RH,54.945
20/07/23 17:31:01,%RH,55.013
20/07/23 17:46:01,%RH,54.356
20/07/23 18:01:01,%RH,60.996
20/07/23 18:16:01,%RH,53.804
20/07/23 18:31:01,%RH,53.142
20/07/23 18:46:01,%RH,55.599
20/07/23 19:01:01,%RH,53.842
20/07/23 19:16:01,%RH,52.444
20/07/23 19:31:01,%RH,71.017
20/07/23 19:46:01,%RH,76.879
20/07/23 20:01:01,%RH,79.04
20/07/23 20:16:01,%RH,80.574
20/07/23 20:31:01,%RH,81.635
20/07/23 20:46:01,%RH,81.106
20/07/23 21:01:01,%RH,81.106
20/07/23 21:16:01,%RH,79.04
20/07/23 21:31:01,%RH,80.574
20/07/23 21:46:01,%RH,83.146
20/07/23 22:01:01,%RH,81.106
20/07/23 22:16:01,%RH,83.669
20/07/23 22:31:01,%RH,82.557
20/07/23 22:46:01,%RH,80.574
20/07/23 23:01:01,%RH,79.974
20/07/23 23:16:01,%RH,79.974
20/07/23 23:31:01,%RH,79.44
20/07/23 23:46:01,%RH,79.974
21/07/23 00:01:01,%RH,81.502
21/07/23 00:16:01,%RH,81.502
21/07/23 00:31:01,%RH,80.973
21/07/23 00:46:01,%RH,78.903
21/07/23 01:01:01,%RH,79.44
21/07/23 01:16:01,%RH,81.439
21/07/23 01:31:01,%RH,82.493
21/07/23 01:46:01,%RH,77.826
21/07/23 02:01:01,%RH,77.352
21/07/23 02:16:01,%RH,76.742
21/07/23 02:31:01,%RH,76.742
21/07/23 02:46:01,%RH,80.441
21/07/23 03:01:01,%RH,78.774
21/07/23 03:16:01,%RH,80.378
21/07/23 03:31:01,%RH,80.909
21/07/23 03:46:01,%RH,81.377
21/07/23 04:01:01,%RH,77.76
21/07/23 04:16:01,%RH,80.441
21/07/23 04:31:01,%RH,72.476
21/07/23 04:46:01,%RH,73.587
21/07/23 05:01:01,%RH,72.963
21/07/23 05:16:01,%RH,74.002
21/07/23 05:31:01,%RH,76.197
21/07/23 05:46:01,%RH,75.103
21/07/23 06:01:01,%RH,75.719
21/07/23 06:16:01,%RH,72.406
21/07/23 06:31:01,%RH,72.338
