1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 0A0000007A560D41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 22:41:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 17:26:01 BST 2023
Total Mission Samples:  6283
Total Device Samples:  29809
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 17:26:01,%RH,78.889
20/07/23 17:41:01,%RH,78.871
20/07/23 17:56:01,%RH,80.593
20/07/23 18:11:01,%RH,83.419
20/07/23 18:26:01,%RH,78.889
20/07/23 18:41:01,%RH,81.164
20/07/23 18:56:01,%RH,78.332
20/07/23 19:11:01,%RH,75.451
20/07/23 19:26:01,%RH,81.12
20/07/23 19:41:01,%RH,82.255
20/07/23 19:56:01,%RH,84.376
20/07/23 20:11:01,%RH,83.749
20/07/23 20:26:01,%RH,84.22
20/07/23 20:41:01,%RH,85.311
20/07/23 20:56:01,%RH,84.22
20/07/23 21:11:01,%RH,83.672
20/07/23 21:26:01,%RH,83.672
20/07/23 21:41:01,%RH,84.145
20/07/23 21:56:01,%RH,86.322
20/07/23 22:11:01,%RH,86.863
20/07/23 22:26:01,%RH,86.79
20/07/23 22:41:01,%RH,83.524
20/07/23 22:56:01,%RH,80.689
20/07/23 23:11:01,%RH,78.944
20/07/23 23:26:01,%RH,78.944
20/07/23 23:41:01,%RH,79.504
20/07/23 23:56:01,%RH,79.995
21/07/23 00:11:01,%RH,80.487
21/07/23 00:26:01,%RH,79.995
21/07/23 00:41:01,%RH,78.944
21/07/23 00:56:01,%RH,77.819
21/07/23 01:11:01,%RH,80.487
21/07/23 01:26:01,%RH,80.98
21/07/23 01:41:01,%RH,76.688
21/07/23 01:56:01,%RH,76.19
21/07/23 02:11:01,%RH,73.329
21/07/23 02:26:01,%RH,73.834
21/07/23 02:41:01,%RH,75.483
21/07/23 02:56:01,%RH,75.483
21/07/23 03:11:01,%RH,78.185
21/07/23 03:26:01,%RH,79.866
21/07/23 03:41:01,%RH,80.424
21/07/23 03:56:01,%RH,79.371
21/07/23 04:11:01,%RH,78.185
21/07/23 04:26:01,%RH,70.575
21/07/23 04:41:01,%RH,71.013
21/07/23 04:56:01,%RH,67.713
21/07/23 05:11:01,%RH,72.104
21/07/23 05:26:01,%RH,73.259
21/07/23 05:41:01,%RH,74.408
21/07/23 05:56:01,%RH,73.834
21/07/23 06:11:01,%RH,72.104
21/07/23 06:26:01,%RH,72.682
21/07/23 06:41:01,%RH,72.682
21/07/23 06:56:01,%RH,70.502
21/07/23 07:11:01,%RH,69.332
21/07/23 07:26:01,%RH,67.713
21/07/23 07:41:01,%RH,69.405
21/07/23 07:56:01,%RH,65.413
21/07/23 08:11:01,%RH,65.413
21/07/23 08:26:01,%RH,68.38
21/07/23 08:41:01,%RH,65.57
21/07/23 08:56:01,%RH,66.939
21/07/23 09:11:01,%RH,63.771
21/07/23 09:26:01,%RH,66.01
21/07/23 09:41:01,%RH,64.972
