1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: E60000007C177E41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 06:01:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 17:16:01 BST 2023
Total Mission Samples:  6349
Total Device Samples:  22363
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 17:16:01,%RH,66
20/07/23 17:31:01,%RH,65.037
20/07/23 17:46:01,%RH,66
20/07/23 18:01:01,%RH,69.828
20/07/23 18:16:01,%RH,69.725
20/07/23 18:31:01,%RH,64.847
20/07/23 18:46:01,%RH,67.377
20/07/23 19:01:01,%RH,60.407
20/07/23 19:16:01,%RH,59.661
20/07/23 19:31:01,%RH,70.314
20/07/23 19:46:01,%RH,74.057
20/07/23 20:01:01,%RH,77.258
20/07/23 20:16:01,%RH,78.266
20/07/23 20:31:01,%RH,79.337
20/07/23 20:46:01,%RH,78.802
20/07/23 21:01:01,%RH,78.266
20/07/23 21:16:01,%RH,78.871
20/07/23 21:31:01,%RH,78.266
20/07/23 21:46:01,%RH,81.392
20/07/23 22:01:01,%RH,80.401
20/07/23 22:16:01,%RH,80.863
20/07/23 22:31:01,%RH,80.798
20/07/23 22:46:01,%RH,79.802
20/07/23 23:01:01,%RH,79.203
20/07/23 23:16:01,%RH,79.203
20/07/23 23:31:01,%RH,78.669
20/07/23 23:46:01,%RH,79.203
21/07/23 00:01:01,%RH,80.734
21/07/23 00:16:01,%RH,80.734
21/07/23 00:31:01,%RH,80.734
21/07/23 00:46:01,%RH,78.669
21/07/23 01:01:01,%RH,79.203
21/07/23 01:16:01,%RH,80.734
21/07/23 01:31:01,%RH,81.728
21/07/23 01:46:01,%RH,77.054
21/07/23 02:01:01,%RH,76.036
21/07/23 02:16:01,%RH,74.398
21/07/23 02:31:01,%RH,74.945
21/07/23 02:46:01,%RH,78.605
21/07/23 03:01:01,%RH,76.99
21/07/23 03:16:01,%RH,78.068
21/07/23 03:31:01,%RH,79.078
21/07/23 03:46:01,%RH,80.613
21/07/23 04:01:01,%RH,73.848
21/07/23 04:16:01,%RH,78.068
21/07/23 04:31:01,%RH,67.41
21/07/23 04:46:01,%RH,69.532
21/07/23 05:01:01,%RH,68.897
21/07/23 05:16:01,%RH,72.19
21/07/23 05:31:01,%RH,73.782
21/07/23 05:46:01,%RH,73.848
21/07/23 06:01:01,%RH,72.19
21/07/23 06:16:01,%RH,70.516
21/07/23 06:31:01,%RH,71.076
21/07/23 06:46:01,%RH,71.076
21/07/23 07:01:01,%RH,70.585
21/07/23 07:16:01,%RH,68.967
21/07/23 07:31:01,%RH,65.117
21/07/23 07:46:01,%RH,65.693
21/07/23 08:01:01,%RH,63.38
21/07/23 08:16:01,%RH,65.619
21/07/23 08:31:01,%RH,64.615
21/07/23 08:46:01,%RH,61.703
21/07/23 09:01:01,%RH,61.192
21/07/23 09:16:01,%RH,62.289
21/07/23 09:31:01,%RH,64.54
21/07/23 09:46:01,%RH,63.455
21/07/23 10:01:01,%RH,65.693
21/07/23 10:16:01,%RH,63.455
21/07/23 10:31:01,%RH,66.766
21/07/23 10:46:01,%RH,62.949
21/07/23 11:01:01,%RH,66.194
21/07/23 11:16:01,%RH,66.267
21/07/23 11:31:01,%RH,61.856
21/07/23 11:46:01,%RH,62.442
21/07/23 12:01:01,%RH,65.768
21/07/23 12:16:01,%RH,67.41
21/07/23 12:31:01,%RH,71.214
21/07/23 12:46:01,%RH,72.328
21/07/23 13:01:01,%RH,69.112
21/07/23 13:16:01,%RH,65.346
21/07/23 13:31:01,%RH,62.633
21/07/23 13:46:01,%RH,69.039
21/07/23 14:01:01,%RH,71.772
21/07/23 14:16:01,%RH,69.676
21/07/23 14:31:01,%RH,70.727
21/07/23 14:46:01,%RH,71.772
21/07/23 15:01:01,%RH,73.435
21/07/23 15:16:01,%RH,72.258
21/07/23 15:31:01,%RH,73.435
21/07/23 15:46:01,%RH,75.013
21/07/23 16:01:01,%RH,76.513
21/07/23 16:16:01,%RH,78.669
21/07/23 16:31:01,%RH,78.669
21/07/23 16:46:01,%RH,80.334
21/07/23 17:01:01,%RH,81.326
21/07/23 17:16:01,%RH,85.43
21/07/23 17:31:01,%RH,86.966
21/07/23 17:46:01,%RH,87.474
21/07/23 18:01:01,%RH,87.921
21/07/23 18:16:01,%RH,88.93
21/07/23 18:31:01,%RH,88.426
21/07/23 18:46:01,%RH,90.871
21/07/23 19:01:01,%RH,92.844
21/07/23 19:16:01,%RH,92.353
21/07/23 19:31:01,%RH,94.79
21/07/23 19:46:01,%RH,92.844
21/07/23 20:01:01,%RH,92.353
21/07/23 20:16:01,%RH,92.789
21/07/23 20:31:01,%RH,92.299
21/07/23 20:46:01,%RH,91.312
21/07/23 21:01:01,%RH,90.319
21/07/23 21:16:01,%RH,89.766
21/07/23 21:31:01,%RH,89.766
21/07/23 21:46:01,%RH,90.266
21/07/23 22:01:01,%RH,89.766
21/07/23 22:16:01,%RH,88.763
21/07/23 22:31:01,%RH,87.753
21/07/23 22:46:01,%RH,86.737
21/07/23 23:01:01,%RH,86.226
21/07/23 23:16:01,%RH,86.737
21/07/23 23:31:01,%RH,86.226
21/07/23 23:46:01,%RH,85.713
22/07/23 00:01:01,%RH,86.737
22/07/23 00:16:01,%RH,86.226
22/07/23 00:31:01,%RH,86.737
22/07/23 00:46:01,%RH,87.246
22/07/23 01:01:01,%RH,86.737
22/07/23 01:16:01,%RH,86.226
22/07/23 01:31:01,%RH,86.226
22/07/23 01:46:01,%RH,86.226
22/07/23 02:01:01,%RH,85.199
22/07/23 02:16:01,%RH,84.166
22/07/23 02:31:01,%RH,83.647
22/07/23 02:46:01,%RH,82.081
22/07/23 03:01:01,%RH,83.127
22/07/23 03:16:01,%RH,81.555
22/07/23 03:31:01,%RH,82.66
22/07/23 03:46:01,%RH,82.66
22/07/23 04:01:01,%RH,81.084
22/07/23 04:16:01,%RH,79.551
22/07/23 04:31:01,%RH,80.143
22/07/23 04:46:01,%RH,74.203
22/07/23 05:01:01,%RH,78.006
22/07/23 05:16:01,%RH,77.054
22/07/23 05:31:01,%RH,74.266
22/07/23 05:46:01,%RH,72.058
22/07/23 06:01:01,%RH,72.612
22/07/23 06:16:01,%RH,71.567
22/07/23 06:31:01,%RH,57.781
22/07/23 06:46:01,%RH,53.476
22/07/23 07:01:01,%RH,57.789
22/07/23 07:16:01,%RH,57.19
22/07/23 07:31:01,%RH,52.821
22/07/23 07:46:01,%RH,50.397
22/07/23 08:01:01,%RH,50.996
22/07/23 08:16:01,%RH,51.626
22/07/23 08:31:01,%RH,61.116
22/07/23 08:46:01,%RH,66.694
22/07/23 09:01:01,%RH,64.54
22/07/23 09:16:01,%RH,49.236
22/07/23 09:31:01,%RH,47.327
22/07/23 09:46:01,%RH,53.563
22/07/23 10:01:01,%RH,61.116
22/07/23 10:16:01,%RH,58.386
22/07/23 10:31:01,%RH,51.028
22/07/23 10:46:01,%RH,57.711
22/07/23 11:01:01,%RH,62.032
22/07/23 11:16:01,%RH,61.779
22/07/23 11:31:01,%RH,53.505
22/07/23 11:46:01,%RH,54.779
22/07/23 12:01:01,%RH,56.577
22/07/23 12:16:01,%RH,49.833
22/07/23 12:31:01,%RH,47.404
22/07/23 12:46:01,%RH,47.365
22/07/23 13:01:01,%RH,50.465
22/07/23 13:16:01,%RH,46.765
22/07/23 13:31:01,%RH,48.639
22/07/23 13:46:01,%RH,48.639
22/07/23 14:01:01,%RH,51.13
22/07/23 14:16:01,%RH,51.13
22/07/23 14:31:01,%RH,51.758
22/07/23 14:46:01,%RH,48.639
22/07/23 15:01:01,%RH,50.465
22/07/23 15:16:01,%RH,48.003
22/07/23 15:31:01,%RH,55.384
22/07/23 15:46:01,%RH,64.54
22/07/23 16:01:01,%RH,64.466
22/07/23 16:16:01,%RH,67.265
22/07/23 16:31:01,%RH,67.834
22/07/23 16:46:01,%RH,67.265
22/07/23 17:01:01,%RH,68.331
22/07/23 17:16:01,%RH,71.144
22/07/23 17:31:01,%RH,72.812
22/07/23 17:46:01,%RH,72.19
22/07/23 18:01:01,%RH,73.848
22/07/23 18:16:01,%RH,73.297
22/07/23 18:31:01,%RH,73.23
22/07/23 18:46:01,%RH,73.23
22/07/23 19:01:01,%RH,72.744
22/07/23 19:16:01,%RH,74.331
22/07/23 19:31:01,%RH,76.513
22/07/23 19:46:01,%RH,76.99
