1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 3E00000078683641
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 06:01:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 17:16:01 BST 2023
Total Mission Samples:  6349
Total Device Samples:  24571
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 17:16:01,%RH,61.315
20/07/23 17:31:01,%RH,58.947
20/07/23 17:46:01,%RH,62.516
20/07/23 18:01:01,%RH,62.365
20/07/23 18:16:01,%RH,60.764
20/07/23 18:31:01,%RH,61.315
20/07/23 18:46:01,%RH,60.737
20/07/23 19:01:01,%RH,55.401
20/07/23 19:16:01,%RH,54.062
20/07/23 19:31:01,%RH,69.031
20/07/23 19:46:01,%RH,74.379
20/07/23 20:01:01,%RH,76.56
20/07/23 20:16:01,%RH,79.18
20/07/23 20:31:01,%RH,79.18
20/07/23 20:46:01,%RH,77.571
20/07/23 21:01:01,%RH,78.109
20/07/23 21:16:01,%RH,77.641
20/07/23 21:31:01,%RH,78.646
20/07/23 21:46:01,%RH,81.235
20/07/23 22:01:01,%RH,80.774
20/07/23 22:16:01,%RH,80.707
20/07/23 22:31:01,%RH,80.641
20/07/23 22:46:01,%RH,79.112
20/07/23 23:01:01,%RH,78.578
20/07/23 23:16:01,%RH,79.112
20/07/23 23:31:01,%RH,79.112
20/07/23 23:46:01,%RH,77.975
21/07/23 00:01:01,%RH,80.047
21/07/23 00:16:01,%RH,79.58
21/07/23 00:31:01,%RH,78.512
21/07/23 00:46:01,%RH,76.422
21/07/23 01:01:01,%RH,76.422
21/07/23 01:16:01,%RH,80.047
21/07/23 01:31:01,%RH,80.577
21/07/23 01:46:01,%RH,70.571
21/07/23 02:01:01,%RH,70.01
21/07/23 02:16:01,%RH,69.447
21/07/23 02:31:01,%RH,69.375
21/07/23 02:46:01,%RH,75.813
21/07/23 03:01:01,%RH,74.722
21/07/23 03:16:01,%RH,76.833
21/07/23 03:31:01,%RH,78.92
21/07/23 03:46:01,%RH,78.92
21/07/23 04:01:01,%RH,73.14
21/07/23 04:16:01,%RH,77.975
21/07/23 04:31:01,%RH,67.254
21/07/23 04:46:01,%RH,69.375
21/07/23 05:01:01,%RH,69.305
21/07/23 05:16:01,%RH,72.587
21/07/23 05:31:01,%RH,74.174
21/07/23 05:46:01,%RH,73.14
21/07/23 06:01:01,%RH,73.691
21/07/23 06:16:01,%RH,71.477
21/07/23 06:31:01,%RH,72.033
21/07/23 06:46:01,%RH,72.587
21/07/23 07:01:01,%RH,69.305
21/07/23 07:16:01,%RH,68.741
21/07/23 07:31:01,%RH,65.537
21/07/23 07:46:01,%RH,65.537
21/07/23 08:01:01,%RH,64.961
21/07/23 08:16:01,%RH,65.463
21/07/23 08:31:01,%RH,63.299
21/07/23 08:46:01,%RH,62.717
21/07/23 09:01:01,%RH,61.036
21/07/23 09:16:01,%RH,62.133
21/07/23 09:31:01,%RH,65.036
21/07/23 09:46:01,%RH,62.717
21/07/23 10:01:01,%RH,64.459
