1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 5D0000007C0B9441
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Tue Jun 27 22:41:01 BST 2023
Mission Sample Count:  4096
Roll Over Enabled?  true(rolled over occurred)
First Sample Timestamp:  Thu Jul 20 17:11:01 BST 2023
Total Mission Samples:  6282
Total Device Samples:  22095
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
20/07/23 17:11:01,%RH,59.368
20/07/23 17:26:01,%RH,60.553
20/07/23 17:41:01,%RH,61.132
20/07/23 17:56:01,%RH,62.312
20/07/23 18:11:01,%RH,65.88
20/07/23 18:26:01,%RH,61.155
20/07/23 18:41:01,%RH,61.757
20/07/23 18:56:01,%RH,58.76
20/07/23 19:11:01,%RH,56.987
20/07/23 19:26:01,%RH,68.878
20/07/23 19:41:01,%RH,73.677
20/07/23 19:56:01,%RH,78.492
20/07/23 20:11:01,%RH,79.027
20/07/23 20:26:01,%RH,81.082
20/07/23 20:41:01,%RH,80.024
20/07/23 20:56:01,%RH,79.492
20/07/23 21:11:01,%RH,79.492
20/07/23 21:26:01,%RH,80.024
20/07/23 21:41:01,%RH,81.016
20/07/23 21:56:01,%RH,83.632
20/07/23 22:11:01,%RH,84.151
20/07/23 22:26:01,%RH,82.591
20/07/23 22:41:01,%RH,81.479
20/07/23 22:56:01,%RH,79.426
20/07/23 23:11:01,%RH,79.426
20/07/23 23:26:01,%RH,79.958
20/07/23 23:41:01,%RH,79.958
20/07/23 23:56:01,%RH,80.952
21/07/23 00:11:01,%RH,81.417
21/07/23 00:26:01,%RH,80.424
21/07/23 00:41:01,%RH,79.426
21/07/23 00:56:01,%RH,78.358
21/07/23 01:11:01,%RH,81.942
21/07/23 01:26:01,%RH,82.406
21/07/23 01:41:01,%RH,77.35
21/07/23 01:56:01,%RH,77.418
21/07/23 02:11:01,%RH,74.156
21/07/23 02:26:01,%RH,73.538
21/07/23 02:41:01,%RH,74.569
21/07/23 02:56:01,%RH,76.203
21/07/23 03:11:01,%RH,78.767
21/07/23 03:26:01,%RH,79.771
21/07/23 03:41:01,%RH,80.83
21/07/23 03:56:01,%RH,79.894
21/07/23 04:11:01,%RH,78.767
21/07/23 04:26:01,%RH,71.463
21/07/23 04:41:01,%RH,71.392
21/07/23 04:56:01,%RH,70.418
21/07/23 05:11:01,%RH,74.021
21/07/23 05:26:01,%RH,75.115
21/07/23 05:41:01,%RH,75.115
21/07/23 05:56:01,%RH,74.569
21/07/23 06:11:01,%RH,72.367
21/07/23 06:26:01,%RH,73.471
21/07/23 06:41:01,%RH,72.92
21/07/23 06:56:01,%RH,71.88
21/07/23 07:11:01,%RH,71.392
21/07/23 07:26:01,%RH,68.658
21/07/23 07:41:01,%RH,68.658
21/07/23 07:56:01,%RH,67.028
21/07/23 08:11:01,%RH,65.31
21/07/23 08:26:01,%RH,68.092
21/07/23 08:41:01,%RH,64.808
21/07/23 08:56:01,%RH,63.727
21/07/23 09:11:01,%RH,65.384
21/07/23 09:26:01,%RH,66.457
21/07/23 09:41:01,%RH,65.384
21/07/23 09:56:01,%RH,67.028
21/07/23 10:11:01,%RH,65.31
21/07/23 10:26:01,%RH,68.092
21/07/23 10:41:01,%RH,64.883
21/07/23 10:56:01,%RH,65.884
21/07/23 11:11:01,%RH,69.222
21/07/23 11:26:01,%RH,66.53
